,AGE,CFID,CFPARAMS,GP,L,MIN,PCT_AST,PCT_BLK,PCT_BLKA,PCT_DREB,PCT_FG3A,PCT_FG3M,PCT_FGA,PCT_FGM,PCT_FTA,PCT_FTM,PCT_OREB,PCT_PF,PCT_PFD,PCT_PTS,PCT_REB,PCT_STL,PCT_TOV,PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,TEAM_ID,USG_PCT,W,W_PCT
40,25.0,5,"241,1610612737",6,3,34.0,0.091,0.25,0.0,0.143,0.063,0.0,0.104,0.091,0.214,0.0,0.333,0.313,0.3,0.066,0.185,0.5,0.083,241,Darrin Hancock,ATL,1610612737,0.111,3,0.5
41,33.0,5,"766,1610612760",12,6,199.0,0.163,0.2,0.125,0.22,0.341,0.444,0.207,0.224,0.115,0.107,0.26,0.237,0.229,0.213,0.233,0.139,0.176,766,David Wingate,SEA,1610612760,0.192,6,0.5
42,30.0,5,"1051,1610612750",3,3,121.0,0.065,0.273,0.083,0.262,0.0,0.0,0.131,0.143,0.25,0.25,0.528,0.208,0.25,0.146,0.361,0.095,0.042,1051,Dean Garrett,MIN,1610612750,0.131,0,0.0
43,33.0,5,"209,1610612766",3,3,53.0,0.227,0.0,0.333,0.0,0.211,0.125,0.193,0.125,0.3,0.429,0.063,0.185,0.214,0.147,0.029,0.444,0.063,209,Dell Curry,CHH,1610612766,0.178,0,0.0
44,36.0,5,"23,1610612741",19,4,546.0,0.124,0.073,0.095,0.313,0.082,0.068,0.092,0.08,0.109,0.082,0.337,0.273,0.31,0.08,0.321,0.114,0.182,23,Dennis Rodman,CHI,1610612741,0.106,15,0.789
45,28.0,5,"192,1610612753",5,3,96.0,0.2,0.0,0.067,0.13,0.282,0.25,0.155,0.109,0.0,0.0,0.087,0.242,0.222,0.097,0.117,0.167,0.091,192,Dennis Scott,ORL,1610612753,0.131,2,0.4
46,22.0,5,"965,1610612747",6,3,35.0,0.3,0.0,0.0,0.115,0.5,0.0,0.204,0.115,0.115,0.125,0.0,0.211,0.4,0.114,0.091,0.25,0.6,965,Derek Fisher,LAL,1610612747,0.243,3,0.5
47,29.0,5,"400,1610612753",5,3,202.0,0.083,0.111,0.333,0.273,0.014,0.0,0.138,0.184,0.26,0.275,0.488,0.253,0.186,0.191,0.331,0.083,0.259,400,Derek Strong,ORL,1610612753,0.169,2,0.4
48,34.0,5,"96,1610612760",12,6,473.0,0.183,0.026,0.056,0.181,0.138,0.195,0.185,0.194,0.24,0.233,0.153,0.189,0.178,0.203,0.172,0.135,0.136,96,Detlef Schrempf,SEA,1610612760,0.185,6,0.5
49,31.0,5,"87,1610612737",10,6,427.0,0.098,0.667,0.138,0.341,0.0,0.0,0.141,0.205,0.284,0.261,0.407,0.179,0.188,0.204,0.359,0.025,0.143,87,Dikembe Mutombo,ATL,1610612737,0.158,4,0.4
50,23.0,5,"690,1610612765",1,1,3.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.571,0.8,0.0,0.0,0.0,0.444,0.25,0.0,0.0,690,Don Reid,DET,1610612765,0.194,0,0.0
51,31.0,5,"140,1610612766",1,1,4.0,0.0,0.0,0.0,0.5,0.0,0.0,0.167,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,140,Donald Royal,CHH,1610612766,0.113,0,0.0
