,AST,AST_RANK,BLK,BLKA,BLKA_RANK,BLK_RANK,COURT_STATUS,DREB,DREB_RANK,FG3A,FG3A_RANK,FG3M,FG3M_RANK,FG3_PCT,FG3_PCT_RANK,FGA,FGA_RANK,FGM,FGM_RANK,FG_PCT,FG_PCT_RANK,FTA,FTA_RANK,FTM,FTM_RANK,FT_PCT,FT_PCT_RANK,GP,GP_RANK,GROUP_SET,L,L_RANK,MIN,MIN_RANK,OREB,OREB_RANK,PF,PFD,PFD_RANK,PF_RANK,PLUS_MINUS,PLUS_MINUS_RANK,PTS,PTS_RANK,REB,REB_RANK,STL,STL_RANK,TEAM_ABBREVIATION,TEAM_ID,TEAM_NAME,TOV,TOV_RANK,VS_PLAYER_ID,VS_PLAYER_NAME,W,W_PCT,W_PCT_RANK,W_RANK
8,394,5,77,117,14,6,On,686,5,670,5,212,5,0.316,17,1632,5,690,5,0.423,17,467,4,348,6,0.745,15,40,3,On/Off Court,31,14,902.776666667,5,187,4,424,382,5,14,-221.0,16,1940,5,873,5,117,7,BKN,1610612751,Brooklyn Nets,335.0,14,203925,"Harris, Joe",9,0.225,5,1
9,370,7,83,106,13,5,On,604,6,542,7,191,6,0.352,7,1500,6,660,6,0.44,12,452,6,369,4,0.816,3,39,4,On/Off Court,31,14,845.953333333,6,143,7,379,367,6,13,-161.0,13,1880,6,747,6,148,5,BKN,1610612751,Brooklyn Nets,287.0,13,1626178,"Hollis-Jefferson, Rondae",8,0.205,8,4
10,503,3,107,143,18,3,On,834,2,777,1,269,1,0.346,10,2018,2,886,3,0.439,13,580,1,456,2,0.786,9,42,2,On/Off Court,34,17,1134.46833333,3,220,1,488,485,1,17,-211.0,15,2497,2,1054,2,161,3,BKN,1610612751,Brooklyn Nets,413.0,18,203930,"Kilpatrick, Sean",8,0.19,12,4
11,194,10,42,56,8,11,On,316,10,280,11,100,10,0.357,6,767,10,352,10,0.459,4,224,10,177,10,0.79,8,23,11,On/Off Court,19,7,426.223333333,10,75,11,190,189,10,9,-10.0,3,981,10,391,10,80,10,BKN,1610612751,Brooklyn Nets,137.0,8,1627747,"LeVert, Caris",4,0.174,13,11
12,134,13,32,39,6,12,On,223,13,209,13,68,13,0.325,16,539,13,242,13,0.449,5,147,14,114,14,0.776,12,12,14,On/Off Court,9,3,300.163333333,13,55,14,128,132,14,6,-51.0,6,666,13,278,13,51,13,BKN,1610612751,Brooklyn Nets,118.0,7,202391,"Lin, Jeremy",3,0.25,2,12
13,525,1,119,137,17,1,On,867,1,760,2,267,2,0.351,8,2037,1,911,1,0.447,8,575,2,461,1,0.802,5,39,4,On/Off Court,30,13,1143.71666667,1,198,2,492,481,2,18,-134.0,12,2550,1,1065,1,150,4,BKN,1610612751,Brooklyn Nets,387.0,15,201572,"Lopez, Brook",9,0.231,3,1
14,30,17,6,11,4,16,On,47,16,46,17,18,17,0.391,2,113,17,53,17,0.469,2,41,17,29,17,0.707,18,11,15,On/Off Court,11,5,61.97,17,16,16,17,25,17,1,35.0,1,153,17,63,16,8,17,BKN,1610612751,Brooklyn Nets,17.0,2,1626191,"McCullough, Chris",0,0.0,18,18
15,171,11,26,45,7,13,On,268,12,290,10,91,11,0.314,18,715,11,315,11,0.441,11,188,12,140,13,0.745,16,31,9,On/Off Court,24,9,396.035,11,92,10,187,165,11,8,-85.0,11,861,11,360,11,65,11,BKN,1610612751,Brooklyn Nets,144.0,9,2449,"Scola, Luis",7,0.226,4,8
16,16,18,2,8,1,18,On,29,18,37,18,14,18,0.378,3,76,18,29,18,0.382,18,10,18,8,18,0.8,6,3,18,On/Off Court,2,1,38.5666666667,18,10,18,20,10,18,2,-13.0,4,80,18,39,18,5,18,BKN,1610612751,Brooklyn Nets,13.0,1,202349,"Vasquez, Greivis",1,0.333,1,15
17,372,6,69,91,12,8,On,589,7,496,8,178,8,0.359,5,1384,7,644,7,0.465,3,382,7,307,7,0.804,4,35,8,On/Off Court,28,11,780.863333333,7,149,6,355,331,7,12,-55.0,7,1773,7,738,7,110,8,BKN,1610612751,Brooklyn Nets,265.0,11,1627785,"Whitehead, Isaiah",7,0.2,10,8
