,AGE,BLK,BLKA,CFID,CFPARAMS,GP,L,MIN,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_OFF_TOV,OPP_PTS_PAINT,PF,PFD,PLAYER_ID,PLAYER_NAME,PTS_2ND_CHANCE,PTS_FB,PTS_OFF_TOV,PTS_PAINT,TEAM_ABBREVIATION,TEAM_ID,W,W_PCT
89,24.0,0.005,0.007,5,"724,1610612759",80,60,0.473,0.133,0.137,0.196,0.381,0.045,0.0,724,Cory Alexander,0.014,0.022,0.031,0.037,SAS,1610612759.0,20,0.25
90,35.0,0.002,0.01,5,"378,1610612760",62,17,0.482,0.142,0.086,0.155,0.345,0.037,0.0,378,Craig Ehlo,0.025,0.025,0.03,0.049,SEA,1610612760.0,45,0.726
91,25.0,0.0,0.0,5,"733,1610612749",3,3,0.368,0.027,0.241,0.0,0.267,0.027,0.0,733,Cuonzo Martin,0.0,0.0,0.0,0.0,MIL,1610612749.0,0,0.0
92,28.0,0.014,0.009,5,"905,1610612754",80,41,0.478,0.12,0.127,0.169,0.34,0.038,0.0,905,Dale Davis,0.045,0.012,0.021,0.113,IND,1610612754.0,39,0.488
93,36.0,0.001,0.007,5,"107,1610612743",82,61,0.462,0.143,0.131,0.181,0.428,0.027,0.001,107,Dale Ellis,0.027,0.024,0.03,0.035,DEN,1610612743.0,21,0.256
94,23.0,0.002,0.012,5,"757,1610612761",81,51,0.462,0.137,0.163,0.169,0.4,0.021,0.0,757,Damon Stoudamire,0.019,0.036,0.039,0.067,TOR,1610612761.0,30,0.37
95,31.0,0.005,0.008,5,"105,1610612748",36,9,0.485,0.124,0.086,0.178,0.344,0.027,0.0,105,Dan Majerle,0.027,0.023,0.028,0.046,MIA,1610612748.0,27,0.75
96,38.0,0.014,0.01,5,"7,1610612753",45,20,0.497,0.147,0.159,0.167,0.396,0.06,0.0,7,Dan Schayes,0.042,0.002,0.023,0.039,ORL,1610612753.0,25,0.556
97,30.0,0.004,0.008,5,"344,1610612738",24,18,0.438,0.132,0.147,0.162,0.466,0.019,0.0,344,Dana Barros,0.01,0.045,0.033,0.041,BOS,1610612738.0,6,0.25
98,30.0,0.006,0.004,5,"198,1610612739",82,40,0.519,0.112,0.092,0.155,0.358,0.043,0.001,198,Danny Ferry,0.02,0.007,0.03,0.012,CLE,1610612739.0,42,0.512
