,AGE,AST,BLK,BLKA,CFID,CFPARAMS,DD2,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GP,L,MIN,OREB,PF,PFD,PLAYER_ID,PLAYER_NAME,PLUS_MINUS,PTS,REB,STL,TD3,TEAM_ABBREVIATION,TEAM_ID,TOV,W,W_PCT
57,28.0,0.016,0.023,0.02,5,"922,1610612747",0,0.044,0.002,0.002,1.0,0.165,0.066,0.398,0.067,0.055,0.816,9,5,0.517,0.025,0.051,0.023,922,Elden Campbell,-0.009,0.188,0.069,0.012,0,LAL,1610612747,0.025,4,0.444
58,29.0,0.035,0.0,0.004,5,"695,1610612737",0,0.031,0.042,0.015,0.364,0.1,0.042,0.423,0.031,0.019,0.625,10,6,0.482,0.012,0.035,0.019,695,Eldridge Recasner,-0.123,0.119,0.042,0.008,0,ATL,1610612737,0.027,4,0.4
59,26.0,0.0,0.0,0.0,5,"15,1610612746",0,0.013,0.064,0.025,0.4,0.14,0.051,0.364,0.089,0.076,0.857,3,3,0.509,0.013,0.064,0.025,15,Eric Piatkowski,-0.038,0.204,0.025,0.013,0,LAC,1610612746,0.0,0,0.0
60,24.0,0.112,0.0,0.0,5,"727,1610612760",0,0.019,0.037,0.019,0.5,0.102,0.047,0.455,0.019,0.009,0.5,8,4,0.46,0.0,0.065,0.047,727,Eric Snow,0.168,0.121,0.019,0.037,0,SEA,1610612760,0.0,4,0.5
61,28.0,0.085,0.003,0.01,5,"56,1610612760",5,0.037,0.061,0.02,0.333,0.209,0.086,0.412,0.05,0.041,0.82,12,6,0.464,0.016,0.021,0.01,56,Gary Payton,0.043,0.233,0.053,0.021,0,SEA,1610612760,0.029,6,0.5
62,22.0,0.031,0.008,0.023,5,"718,1610612757",0,0.054,0.008,0.0,0.0,0.224,0.1,0.448,0.085,0.046,0.545,4,3,0.501,0.039,0.085,0.023,718,Gary Trent,-0.093,0.247,0.093,0.0,0,POR,1610612757,0.046,1,0.25
63,33.0,0.014,0.007,0.021,5,"786,1610612753",0,0.021,0.032,0.011,0.333,0.158,0.056,0.356,0.049,0.042,0.857,5,3,0.515,0.011,0.025,0.011,786,Gerald Wilkins,-0.025,0.165,0.032,0.0,0,ORL,1610612753,0.011,2,0.4
64,26.0,0.0,0.028,0.007,5,"49,1610612764",0,0.11,0.0,0.0,0.0,0.062,0.028,0.444,0.055,0.048,0.875,3,3,0.496,0.014,0.041,0.028,49,Gheorghe Muresan,-0.131,0.103,0.124,0.0,0,WAS,1610612764,0.076,0,0.0
65,30.0,0.038,0.003,0.0,5,"779,1610612766",0,0.034,0.055,0.021,0.375,0.195,0.096,0.491,0.079,0.072,0.913,3,3,0.489,0.003,0.038,0.017,779,Glen Rice,-0.034,0.284,0.038,0.014,0,CHH,1610612766,0.014,0,0.0
66,24.0,0.069,0.013,0.02,5,"255,1610612765",1,0.053,0.0,0.0,0.0,0.262,0.114,0.437,0.099,0.071,0.718,5,3,0.54,0.033,0.036,0.018,255,Grant Hill,-0.038,0.3,0.086,0.01,0,DET,1610612765,0.048,2,0.4
67,31.0,0.018,0.0,0.006,5,"3,1610612765",0,0.043,0.012,0.0,0.0,0.111,0.049,0.444,0.068,0.055,0.818,5,3,0.561,0.025,0.068,0.025,3,Grant Long,0.074,0.154,0.068,0.025,0,DET,1610612765,0.0,2,0.4
68,28.0,0.017,0.011,0.013,5,"323,1610612762",0,0.065,0.013,0.003,0.25,0.114,0.044,0.389,0.047,0.041,0.867,20,7,0.504,0.024,0.084,0.035,323,Greg Foster,-0.071,0.133,0.089,0.006,0,UTA,1610612762,0.017,13,0.65
69,26.0,0.061,0.0,0.02,5,"37,1610612760",0,0.051,0.041,0.01,0.25,0.142,0.041,0.286,0.041,0.031,0.75,6,3,0.482,0.0,0.051,0.031,37,Greg Graham,0.244,0.122,0.051,0.02,0,SEA,1610612760,0.01,3,0.5
70,24.0,0.006,0.049,0.012,5,"731,1610612762",2,0.088,0.0,0.0,0.0,0.086,0.035,0.41,0.036,0.027,0.743,20,7,0.487,0.054,0.079,0.032,731,Greg Ostertag,0.109,0.097,0.142,0.01,0,UTA,1610612762,0.019,13,0.65
71,34.0,0.04,0.03,0.01,5,"165,1610612745",14,0.095,0.002,0.0,0.0,0.185,0.109,0.59,0.077,0.057,0.731,16,7,0.482,0.034,0.045,0.02,165,Hakeem Olajuwon,0.03,0.275,0.129,0.025,0,HOU,1610612745,0.034,9,0.563
72,31.0,0.0,0.031,0.0,5,"265,1610612764",0,0.063,0.016,0.0,0.0,0.047,0.0,0.0,0.0,0.0,0.0,3,3,0.461,0.0,0.078,0.047,265,Harvey Grant,-0.267,0.0,0.063,0.0,0,WAS,1610612764,0.0,0,0.0
73,31.0,0.02,0.0,0.01,5,"1080,1610612737",0,0.0,0.061,0.02,0.333,0.131,0.03,0.231,0.0,0.0,0.0,8,5,0.467,0.01,0.121,0.061,1080,Henry James,-0.232,0.081,0.01,0.01,0,ATL,1610612737,0.04,3,0.375
74,39.0,0.0,0.0,0.0,5,"1006,1610612752",0,0.024,0.0,0.0,0.0,0.119,0.048,0.4,0.0,0.0,0.0,3,2,0.525,0.0,0.095,0.0,1006,Herb Williams,-0.262,0.095,0.024,0.0,0,NYK,1610612752,0.0,1,0.333
75,30.0,0.031,0.004,0.005,5,"765,1610612760",1,0.034,0.054,0.025,0.458,0.121,0.057,0.47,0.032,0.029,0.914,12,6,0.459,0.016,0.029,0.012,765,Hersey Hawkins,0.059,0.167,0.049,0.027,0,SEA,1610612760,0.019,6,0.5
76,34.0,0.013,0.035,0.004,5,"73,1610612756",0,0.057,0.0,0.0,0.0,0.066,0.035,0.533,0.044,0.018,0.4,5,3,0.468,0.044,0.053,0.035,73,Hot Rod Williams,-0.163,0.088,0.102,0.009,0,PHX,1610612756,0.022,2,0.4
77,24.0,0.085,0.0,0.011,5,"458,1610612762",0,0.03,0.04,0.019,0.474,0.161,0.081,0.5,0.059,0.057,0.964,20,7,0.48,0.008,0.057,0.032,458,Howard Eisley,0.032,0.238,0.038,0.006,0,UTA,1610612762,0.036,13,0.65
78,27.0,0.011,0.012,0.009,5,"1134,1610612748",0,0.088,0.007,0.002,0.25,0.142,0.063,0.444,0.054,0.044,0.806,15,8,0.523,0.028,0.061,0.028,1134,Ike Austin,-0.025,0.172,0.116,0.011,0,MIA,1610612748,0.039,7,0.467
