,AST_PCT,PCT_AST_FGM,PLAYER_ID,PLAYER_NAME,TEAM_ID,YEAR
76,0.137,0.733,934.0,Derrick Coleman,1610612766.0, 1999-00
77,0.118,0.638,1882.0,Elton Brand,1610612741.0, 1999-00
78,0.368,0.39,56.0,Gary Payton,1610612760.0, 1999-00
79,0.112,0.696,299.0,Glenn Robinson,1610612749.0, 1999-00
80,0.253,0.351,255.0,Grant Hill,1610612765.0, 1999-00
81,0.186,0.432,375.0,Isaiah Rider,1610612737.0, 1999-00
82,0.2,0.538,711.0,Jerry Stackhouse,1610612765.0, 1999-00
83,0.197,0.777,252.0,Karl Malone,1610612762.0, 1999-00
84,0.102,0.585,1496.0,Keith Van Horn,1610612751.0, 1999-00
85,0.211,0.698,708.0,Kevin Garnett,1610612750.0, 1999-00
86,0.215,0.448,977.0,Kobe Bryant,1610612747.0, 1999-00
87,0.162,0.538,1716.0,Larry Hughes,1610612744.0, 1999-00
