,AGE,BLK,CFID,CFPARAMS,DEF_RATING,DEF_WS,DREB,DREB_PCT,GP,L,MIN,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_OFF_TOV,OPP_PTS_PAINT,PCT_BLK,PCT_DREB,PCT_STL,PLAYER_ID,PLAYER_NAME,STL,TEAM_ABBREVIATION,TEAM_ID,W,W_PCT
64,26.0,36,5,"384,1610612764",102.6,2.73,242,0.103,82,40,2840.04166667,851,839,919,2596,0.135,0.148,0.19,384,Calbert Cheaney,96,WAS,1610612764,42,0.512
65,31.0,12,5,"61,1610612759",98.4,0.77,67,0.145,58,16,516.043333333,154,125,190,386,0.169,0.213,0.241,61,Carl Herrera,19,SAS,1610612759,42,0.724
66,28.0,7,5,"1063,1610612739",99.5,0.59,37,0.102,43,27,421.52,131,133,164,340,0.179,0.146,0.247,1063,Carl Thomas,21,CLE,1610612739,16,0.372
67,27.0,8,5,"435,1610612757",106.0,0.2,32,0.106,21,14,375.8,137,165,158,390,0.127,0.159,0.159,435,Carlos Rogers,10,POR,1610612757,7,0.333
68,28.0,16,5,"76,1610612742",98.8,1.44,146,0.165,47,21,991.55,292,301,342,800,0.142,0.245,0.196,76,Cedric Ceballos,33,DAL,1610612742,26,0.553
69,23.0,45,5,"1538,1610612739",96.3,4.47,254,0.121,82,35,2528.80166667,655,702,1010,1940,0.158,0.169,0.185,1538,Cedric Henderson,96,CLE,1610612739,47,0.573
70,35.0,28,5,"787,1610612745",107.3,0.79,553,0.297,68,32,2245.83,709,632,767,1967,0.181,0.422,0.19,787,Charles Barkley,71,HOU,1610612745,36,0.529
71,41.0,6,5,"279,1610612745",109.5,0.01,12,0.111,24,14,125.553333333,44,47,54,124,0.667,0.171,0.038,279,Charles Jones,1,HOU,1610612745,10,0.417
72,23.0,1,5,"1525,1610612765",98.6,0.36,19,0.11,30,12,233.196666667,61,58,99,145,0.05,0.151,0.167,1525,Charles O'Bannon,9,DET,1610612765,18,0.6
73,34.0,22,5,"891,1610612752",97.4,4.4,506,0.228,79,37,2729.91333333,688,533,872,1841,0.125,0.31,0.272,891,Charles Oakley,123,NYK,1610612752,42,0.532
