,PlayerID,PlayerName,TeamID,Total_Poss,Total_Points,Total_PPP,PRBallHandler_PPP,PRBallHandler_Points,PRBallHandler_Poss,Cut_PPP,Cut_Points,Cut_Poss,Handoff_PPP,Handoff_Points,Handoff_Poss,Isolation_PPP,Isolation_Points,Isolation_Poss,Misc_PPP,Misc_Points,Misc_Poss,OffScreen_PPP,OffScreen_Points,OffScreen_Poss,Postup_PPP,Postup_Points,Postup_Poss,OffRebound_PPP,OffRebound_Points,OffRebound_Poss,PRRollMan_PPP,PRRollMan_Points,PRRollMan_Poss,Spotup_PPP,Spotup_Points,Spotup_Poss,Transition_PPP,Transition_Points,Transition_Poss
24,202688.0,Brandon Knight,1610612756.0,927.0,815.0,0.879180151025,0.71465998888,273.0,382.0,1.19230997562,31.0,26.0,0.835615992546,61.0,73.0,0.878787994385,87.0,99.0,0.513513982296,19.0,37.0,0.883720993996,38.0,43.0,0.0,0.0,0.0,0.909090995789,10.0,11.0,0.0,0.0,0.0,1.05303001404,139.0,132.0,1.26612997055,157.0,124.0
25,202331.0,Paul George,1610612754.0,1390.0,1312.0,0.943884892086,0.852842986584,255.0,299.0,1.39999997616,70.0,50.0,0.809523999691,68.0,84.0,0.834950983524,172.0,206.0,0.692308008671,63.0,91.0,1.01408004761,216.0,213.0,0.642857015133,27.0,42.0,1.36363995075,30.0,22.0,0.777778029442,14.0,18.0,1.00718998909,140.0,139.0,1.13716995716,257.0,226.0
26,202339.0,Eric Bledsoe,1610612756.0,669.0,613.0,0.916292974589,0.972972989082,252.0,259.0,1.36363995075,15.0,11.0,0.777778029442,14.0,18.0,0.797752976418,71.0,89.0,0.682927012444,28.0,41.0,0.633333027363,19.0,30.0,0.545454978943,6.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.843373000622,70.0,83.0,1.0866099596,138.0,127.0
27,202709.0,Cory Joseph,1610612761.0,538.0,494.0,0.918215613383,0.939849972725,250.0,266.0,0.0,0.0,0.0,1.0625,17.0,16.0,0.913043022156,63.0,69.0,0.342857003212,12.0,35.0,1.18182003498,13.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.863157987595,82.0,95.0,1.23913002014,57.0,46.0
28,1626156.0,DAngelo  Russell,1610612747.0,826.0,699.0,0.846246973366,0.746987998486,248.0,332.0,1.44000005722,36.0,25.0,1.027780056,37.0,36.0,1.02272999287,45.0,44.0,0.348836988211,15.0,43.0,0.857142984867,18.0,21.0,0.864865005016,32.0,37.0,0.555555999279,10.0,18.0,0.0,0.0,0.0,0.964029014111,134.0,139.0,0.946564972401,124.0,131.0
29,200826.0,J.J. Barea,1610612742.0,540.0,471.0,0.872222222222,0.861209988594,242.0,281.0,0.0,0.0,0.0,0.9354839921,29.0,31.0,0.584905982018,31.0,53.0,0.33333298564,7.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.15384995937,120.0,104.0,0.839999973774,42.0,50.0
30,202681.0,Kyrie Irving,1610612739.0,552.0,533.0,0.965579710145,0.916350007057,241.0,263.0,0.0,0.0,0.0,0.666666984558,18.0,27.0,1.04877996445,86.0,82.0,0.791666984558,19.0,24.0,0.0,0.0,0.0,1.0,12.0,12.0,0.714286029339,10.0,14.0,0.0,0.0,0.0,0.983870983124,61.0,62.0,1.26470994949,86.0,68.0
31,200765.0,Rajon Rondo,1610612758.0,855.0,635.0,0.74269005848,0.726444005966,239.0,329.0,1.1875,38.0,32.0,0.875,14.0,16.0,0.710144996643,49.0,69.0,0.423076987267,33.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.920000016689,23.0,25.0,0.0,0.0,0.0,0.924242019653,122.0,132.0,0.672414004803,117.0,174.0
32,203918.0,Rodney Hood,1610612762.0,831.0,812.0,0.977135980746,0.894531011581,229.0,256.0,1.14286005497,16.0,14.0,0.941860020161,81.0,86.0,1.1012699604,87.0,79.0,0.310344994068,9.0,29.0,0.735293984413,25.0,34.0,1.0,22.0,22.0,1.0,12.0,12.0,0.0,0.0,0.0,1.07359004021,248.0,231.0,1.22058999538,83.0,68.0
33,201142.0,Kevin Durant,1610612760.0,1268.0,1391.0,1.09700315457,0.91164702177,227.0,249.0,1.625,78.0,48.0,1.23333001137,37.0,30.0,1.02970004082,208.0,202.0,0.959999978542,48.0,50.0,1.01099002361,184.0,182.0,1.25742995739,127.0,101.0,1.3125,21.0,16.0,1.03076994419,67.0,65.0,1.07811999321,138.0,128.0,1.29948997498,256.0,197.0
