,AGE,AST,BLK,BLKA,CFID,CFPARAMS,DD2,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GP,L,MIN,OREB,PF,PFD,PLAYER_ID,PLAYER_NAME,PLUS_MINUS,PTS,REB,STL,TD3,TEAM_ABBREVIATION,TEAM_ID,TOV,W,W_PCT
39,36.0,0.04,0.03,0.02,5,"82,1610612741",0,0.13,0.0,0.0,1.0,0.4,0.14,0.348,0.05,0.04,0.818,38,28,449.611666667,0.04,0.18,0.0,82,Bill Wennington,-0.18,0.32,0.18,0.03,0,CHI,1610612741,0.04,10,0.263
40,30.0,0.08,0.01,0.03,5,"182,1610612760",0,0.1,0.02,0.01,0.455,0.37,0.14,0.394,0.08,0.06,0.8,21,12,450.736666667,0.08,0.08,0.0,182,Billy Owens,-0.06,0.36,0.18,0.03,0,SEA,1610612760,0.07,9,0.429
41,31.0,0.17,0.01,0.02,5,"902,1610612744",1,0.08,0.02,0.0,0.24,0.32,0.14,0.442,0.08,0.07,0.822,48,29,1273.99333333,0.02,0.09,0.0,902,Bimbo Coles,-0.03,0.36,0.09,0.04,0,GSW,1610612744,0.06,19,0.396
42,30.0,0.06,0.03,0.03,5,"183,1610612765",3,0.15,0.0,0.0,0.0,0.37,0.18,0.501,0.1,0.07,0.686,49,20,1178.415,0.08,0.15,0.0,183,Bison Dele,0.08,0.44,0.23,0.03,0,DET,1610612765,0.09,29,0.592
43,33.0,0.11,0.02,0.01,5,"898,1610612748",0,0.09,0.04,0.01,0.4,0.25,0.11,0.444,0.05,0.03,0.692,24,7,285.345,0.02,0.08,0.0,898,Blue Edwards,-0.05,0.27,0.12,0.06,0,MIA,1610612748,0.07,17,0.708
44,28.0,0.07,0.05,0.02,5,"448,1610612753",2,0.13,0.0,0.0,0.0,0.18,0.1,0.545,0.1,0.04,0.432,31,12,850.093333333,0.06,0.09,0.0,448,Bo Outlaw,0.0,0.24,0.2,0.05,0,ORL,1610612753,0.07,19,0.613
45,26.0,0.18,0.02,0.02,5,"682,1610612739",0,0.1,0.05,0.01,0.2,0.25,0.08,0.333,0.12,0.08,0.631,50,28,840.69,0.02,0.12,0.0,682,Bob Sura,-0.11,0.25,0.12,0.05,0,CLE,1610612739,0.08,22,0.44
46,26.0,0.18,0.0,0.02,5,"1517,1610612750",0,0.1,0.03,0.01,0.37,0.37,0.15,0.405,0.08,0.06,0.772,50,25,938.638333333,0.05,0.08,0.0,1517,Bobby Jackson,-0.05,0.38,0.14,0.04,0,MIN,1610612750,0.08,25,0.5
47,29.0,0.09,0.02,0.02,5,"184,1610612766",0,0.09,0.11,0.04,0.395,0.32,0.14,0.433,0.11,0.07,0.685,43,19,1575.675,0.02,0.08,0.0,184,Bobby Phills,0.04,0.39,0.11,0.04,0,CHH,1610612766,0.06,24,0.558
48,22.0,0.08,0.03,0.06,5,"1719,1610612757",0,0.14,0.08,0.03,0.333,0.56,0.31,0.55,0.5,0.22,0.444,7,1,35.7666666667,0.11,0.14,0.0,1719,Bonzi Wells,-0.25,0.87,0.25,0.03,0,POR,1610612757,0.17,6,0.857
49,23.0,0.05,0.04,0.06,5,"1802,1610612766",2,0.18,0.0,0.0,0.5,0.3,0.17,0.565,0.22,0.17,0.794,38,18,466.571666667,0.08,0.14,0.0,1802,Brad Miller,0.12,0.51,0.25,0.02,0,CHH,1610612766,0.07,20,0.526
50,24.0,0.0,0.0,0.0,5,"1585,1610612759",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.55,0.5,3,0,3.64166666667,0.27,0.0,0.0,1585,Brandon Williams,-1.1,0.55,0.27,0.0,0,SAS,1610612759,0.0,3,1.0
51,27.0,0.1,0.01,0.01,5,"699,1610612741",1,0.09,0.15,0.04,0.302,0.3,0.12,0.396,0.09,0.07,0.772,37,27,1181.08666667,0.03,0.08,0.0,699,Brent Barry,-0.21,0.35,0.12,0.04,0,CHI,1610612741,0.06,10,0.27
52,30.0,0.14,0.0,0.01,5,"85,1610612745",0,0.07,0.14,0.06,0.411,0.25,0.12,0.483,0.08,0.06,0.754,40,14,812.748333333,0.02,0.11,0.0,85,Brent Price,0.03,0.36,0.1,0.04,0,HOU,1610612745,0.08,26,0.65
53,23.0,0.25,0.01,0.02,5,"1510,1610612739",5,0.1,0.0,0.0,0.0,0.26,0.11,0.425,0.12,0.09,0.745,39,19,1188.93166667,0.01,0.1,0.0,1510,Brevin Knight,0.03,0.31,0.11,0.06,0,CLE,1610612739,0.09,20,0.513
54,25.0,0.11,0.02,0.01,5,"967,1610612750",0,0.09,0.09,0.03,0.308,0.31,0.09,0.295,0.03,0.03,1.0,16,13,142.308333333,0.04,0.06,0.0,967,Brian Evans,0.08,0.24,0.13,0.04,0,MIN,1610612750,0.01,3,0.188
55,27.0,0.04,0.02,0.03,5,"258,1610612757",17,0.19,0.0,0.0,0.0,0.25,0.12,0.479,0.15,0.12,0.814,48,14,1523.835,0.11,0.09,0.0,258,Brian Grant,0.17,0.36,0.31,0.01,0,POR,1610612757,0.06,34,0.708
56,33.0,0.22,0.0,0.0,5,"216,1610612757",0,0.22,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,1,0,4.6,0.0,0.22,0.0,216,Brian Shaw,-0.65,0.0,0.22,0.0,0,POR,1610612757,0.22,1,1.0
57,23.0,0.0,0.05,0.04,5,"1730,1610612746",0,0.13,0.0,0.0,0.0,0.28,0.13,0.465,0.13,0.08,0.606,21,19,255.825,0.08,0.08,0.0,1730,Brian Skinner,0.02,0.34,0.21,0.04,0,LAC,1610612746,0.07,2,0.095
58,28.0,0.06,0.02,0.02,5,"1477,1610612738",0,0.07,0.05,0.01,0.269,0.19,0.05,0.28,0.05,0.02,0.458,30,20,496.9,0.03,0.1,0.0,1477,Bruce Bowen,-0.1,0.14,0.1,0.04,0,BOS,1610612738,0.03,10,0.333
59,19.0,0.09,0.0,0.09,5,"1743,1610612742",0,0.0,0.0,0.0,0.0,0.65,0.18,0.286,0.0,0.0,0.0,3,2,10.8333333333,0.0,0.37,0.0,1743,Bruno Sundov,-1.2,0.37,0.0,0.0,0,DAL,1610612742,0.09,1,0.333
60,26.0,0.05,0.01,0.05,5,"735,1610612763",1,0.13,0.0,0.0,0.0,0.36,0.15,0.406,0.17,0.1,0.578,25,20,702.935,0.07,0.15,0.0,735,Bryant Reeves,-0.23,0.39,0.2,0.02,0,VAN,1610612763,0.07,5,0.2
61,28.0,0.07,0.01,0.01,5,"179,1610612743",0,0.06,0.09,0.03,0.292,0.24,0.1,0.393,0.06,0.05,0.859,46,33,1194.38166667,0.03,0.05,0.0,179,Bryant Stith,-0.19,0.27,0.09,0.02,0,DEN,1610612743,0.04,13,0.283
62,24.0,0.12,0.01,0.01,5,"1724,1610612745",0,0.07,0.11,0.04,0.327,0.29,0.11,0.364,0.02,0.02,1.0,34,15,440.39,0.01,0.14,0.0,1724,Bryce Drew,-0.02,0.27,0.07,0.03,0,HOU,1610612745,0.07,19,0.559
63,28.0,0.04,0.01,0.01,5,"935,1610612762",1,0.11,0.08,0.03,0.354,0.26,0.12,0.464,0.1,0.08,0.795,50,13,1766.91833333,0.04,0.09,0.0,935,Bryon Russell,0.18,0.35,0.15,0.04,0,UTA,1610612762,0.04,37,0.74
64,27.0,0.06,0.01,0.01,5,"384,1610612764",0,0.09,0.03,0.01,0.216,0.33,0.14,0.414,0.05,0.03,0.493,50,32,1266.455,0.03,0.12,0.0,384,Calbert Cheaney,-0.03,0.3,0.11,0.03,0,WAS,1610612764,0.03,18,0.36
65,32.0,0.01,0.02,0.01,5,"61,1610612743",0,0.12,0.0,0.0,0.0,0.25,0.1,0.395,0.04,0.02,0.455,28,18,305.353333333,0.08,0.13,0.0,61,Carl Herrera,-0.11,0.21,0.2,0.04,0,DEN,1610612743,0.05,10,0.357
66,28.0,0.12,0.0,0.0,5,"435,1610612757",0,0.12,0.0,0.0,0.0,0.25,0.25,1.0,0.49,0.12,0.25,2,0,8.13333333333,0.0,0.25,0.0,435,Carlos Rogers,0.37,0.61,0.12,0.0,0,POR,1610612757,0.0,2,1.0
67,23.0,0.0,0.0,0.14,5,"1745,1610612755",0,0.0,0.0,0.0,0.0,0.58,0.07,0.125,0.0,0.0,0.0,9,2,13.905,0.22,0.14,0.0,1745,Casey Shaw,-0.36,0.14,0.22,0.0,0,PHI,1610612755,0.14,7,0.778
68,29.0,0.03,0.01,0.03,5,"76,1610612742",2,0.18,0.08,0.03,0.393,0.4,0.17,0.421,0.14,0.1,0.694,13,9,351.695,0.07,0.07,0.0,76,Cedric Ceballos,-0.16,0.46,0.24,0.02,0,DAL,1610612742,0.08,4,0.308
69,24.0,0.07,0.02,0.02,5,"1538,1610612739",1,0.1,0.01,0.0,0.167,0.3,0.12,0.417,0.06,0.05,0.813,50,28,1520.19833333,0.03,0.09,0.0,1538,Cedric Henderson,-0.06,0.3,0.13,0.04,0,CLE,1610612739,0.06,22,0.44
70,36.0,0.13,0.01,0.04,5,"787,1610612745",29,0.23,0.02,0.0,0.16,0.33,0.16,0.478,0.18,0.13,0.719,42,15,1522.66166667,0.11,0.06,0.0,787,Charles Barkley,0.09,0.44,0.34,0.03,0,HOU,1610612745,0.07,27,0.643
71,24.0,0.07,0.02,0.02,5,"1525,1610612765",0,0.1,0.01,0.0,0.0,0.34,0.15,0.429,0.05,0.05,1.0,18,7,163.12,0.11,0.13,0.0,1525,Charles O'Bannon,0.16,0.34,0.21,0.01,0,DET,1610612765,0.05,11,0.611
72,35.0,0.1,0.01,0.01,5,"891,1610612761",0,0.17,0.0,0.0,0.2,0.2,0.09,0.428,0.05,0.04,0.807,50,27,1633.84666667,0.06,0.11,0.0,891,Charles Oakley,0.0,0.21,0.23,0.03,0,TOR,1610612761,0.06,23,0.46
73,23.0,0.09,0.01,0.02,5,"1869,1610612741",0,0.07,0.13,0.04,0.311,0.26,0.08,0.317,0.05,0.02,0.5,29,24,476.378333333,0.02,0.06,0.0,1869,Charles R. Jones,-0.24,0.23,0.09,0.04,0,CHI,1610612741,0.06,5,0.172
74,33.0,0.04,0.04,0.01,5,"1593,1610612766",2,0.24,0.0,0.0,0.0,0.25,0.12,0.489,0.08,0.05,0.655,32,13,363.13,0.11,0.18,0.0,1593,Charles Shackleford,-0.12,0.29,0.36,0.01,0,CHH,1610612766,0.07,19,0.594
75,23.0,0.04,0.04,0.02,5,"1520,1610612746",0,0.05,0.1,0.02,0.212,0.31,0.11,0.361,0.05,0.02,0.438,23,20,315.593333333,0.02,0.11,0.0,1520,Charles Smith,-0.26,0.27,0.08,0.05,0,LAC,1610612746,0.06,3,0.13
