,AGE,AST,BLK,BLKA,CFID,CFPARAMS,DD2,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GP,L,MIN,OREB,PF,PFD,PLAYER_ID,PLAYER_NAME,PLUS_MINUS,PTS,REB,STL,TD3,TEAM_ABBREVIATION,TEAM_ID,TOV,W,W_PCT
40,26.0,157,142,30,5,"448,1610612746",5,280,8,0,0.0,417,254,0.609,232,117,0.504,82,46,2270.66833333,174,213,4,448,Bo Outlaw,166,625,454,94,0,LAC,1610612746.0,107,36,0.439
41,24.0,390,33,49,5,"682,1610612739",5,232,164,53,0.323,587,253,0.431,319,196,0.614,82,40,2365.47666667,76,204,5,682,Bob Sura,11,755,308,91,0,CLE,1610612739.0,181,42,0.512
42,26.0,146,3,6,5,"310,1610612758",1,29,45,14,0.311,125,46,0.368,53,37,0.698,49,31,650.836666667,9,52,0,310,Bobby Hurley,-35,143,38,27,0,SAC,1610612758.0,55,18,0.367
43,27.0,233,21,45,5,"184,1610612739",1,182,216,85,0.394,766,328,0.428,174,125,0.718,69,33,2452.60666667,63,158,2,184,Bobby Phills,111,866,245,113,0,CLE,1610612739.0,135,36,0.522
44,32.0,1,0,1,5,"38,1610612761",0,6,7,2,0.286,15,4,0.267,0,0,0.0,6,5,45.115,1,6,0,38,Brad Lohaus,-31,10,7,1,0,TOR,1610612761.0,1,1,0.167
45,25.0,154,15,7,5,"699,1610612746",1,80,173,56,0.324,379,155,0.409,93,76,0.817,59,35,1133.04333333,30,87,0,699,Brent Barry,102,442,110,51,0,LAC,1610612746.0,76,24,0.407
46,28.0,65,0,5,5,"85,1610612745",0,19,53,17,0.321,105,44,0.419,21,21,1.0,25,11,406.69,10,33,0,85,Brent Price,33,126,29,17,0,HOU,1610612745.0,32,14,0.56
47,26.0,3,1,2,5,"1064,1610612754",0,6,0,0,0.0,17,8,0.471,6,3,0.5,16,9,57.135,3,14,0,1064,Brent Scott,5,19,9,1,0,IND,1610612754.0,4,7,0.438
48,29.0,17,32,13,5,"1136,1610612738",1,109,1,0,0.0,121,54,0.446,61,45,0.738,70,59,687.113333333,56,113,1,1136,Brett Szabo,-170,153,165,16,0,BOS,1610612738.0,41,11,0.157
49,23.0,7,2,0,5,"967,1610612753",0,7,8,4,0.5,22,8,0.364,0,0,0.0,14,6,59.8233333333,1,5,0,967,Brian Evans,-13,20,8,1,0,ORL,1610612753.0,2,8,0.571
50,25.0,28,25,20,5,"258,1610612758",4,93,0,0,0.0,207,91,0.44,90,70,0.778,24,15,627.885,49,73,0,258,Brian Grant,-97,252,142,19,0,SAC,1610612758.0,44,9,0.375
51,31.0,319,26,31,5,"216,1610612753",2,147,194,63,0.325,516,189,0.366,140,111,0.793,77,36,1927.55166667,47,192,0,216,Brian Shaw,-348,552,194,67,0,ORL,1610612753.0,170,41,0.532
52,26.0,180,2,19,5,"240,1610612743",1,78,244,97,0.398,406,162,0.399,38,24,0.632,67,49,1090.86333333,18,122,0,240,Brooks Thompson,-112,445,96,55,0,DEN,1610612743.0,87,18,0.269
53,26.0,0,1,0,5,"1477,1610612748",0,0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0.55,0,0,0,1477,Bruce Bowen,3,0,0,0,0,MIA,1610612748.0,0,1,1.0
54,24.0,160,67,78,5,"735,1610612763",23,436,11,1,0.091,1025,498,0.486,307,216,0.704,75,61,2843.56166667,174,254,0,735,Bryant Reeves,-539,1213,610,29,0,VAN,1610612763.0,175,14,0.187
55,26.0,133,20,54,5,"179,1610612743",0,143,182,70,0.385,603,251,0.416,234,202,0.863,52,39,1849.50333333,74,113,0,179,Bryant Stith,-164,774,217,60,0,DEN,1610612743.0,101,13,0.25
56,26.0,123,27,27,5,"935,1610612762",3,252,264,108,0.409,620,297,0.479,244,171,0.701,81,18,2629.55166667,79,222,0,935,Bryon Russell,682,873,331,129,0,UTA,1610612762.0,94,63,0.778
57,37.0,53,38,24,5,"433,1610612752",4,231,1,0,0.0,326,175,0.537,179,115,0.642,74,21,1570.60333333,166,196,3,433,Buck Williams,143,465,397,40,0,NYK,1610612752.0,79,53,0.716
58,36.0,99,16,9,5,"2,1610612747",0,97,188,73,0.388,379,163,0.43,151,127,0.841,79,25,1495.35333333,21,67,1,2,Byron Scott,199,526,118,46,0,LAL,1610612747.0,53,54,0.684
59,25.0,114,18,35,5,"384,1610612764",1,198,30,4,0.133,730,369,0.505,137,95,0.693,79,37,2482.95333333,70,201,0,384,Calbert Cheaney,56,837,268,77,0,WAS,1610612764.0,94,42,0.532
60,30.0,50,53,50,5,"61,1610612759",4,222,6,2,0.333,593,257,0.433,118,81,0.686,75,58,1884.07666667,118,187,2,61,Carl Herrera,-325,597,340,62,0,SAS,1610612759.0,95,17,0.227
