C.48,C.pct,C,PID,MP,PG MP,Is Regular Season,Period,Pf.48,PF.pct,PF,PF MP,C MP,SF MP,SG MP,Pg.48,PG.pct,PG,Player,Sf.48,SF.pct,SF,Sg.48,SG.pct,SG,Team,Mins,Pos.Est
-7.992255566,0.959,15495,Tyler HansbroughCHAAll1,269.2,0,1,All,52.602739726,0.041,657,10.95,258.25,0,0,0,0,0,Tyler Hansbrough,0,0,0,0,0,0,CHA,16152,4.959323923
0,0,0,Tyler JohnsonMIAAll1,861.433333333,447.433333333,1,All,0,0,0,0,0,0,414,-8.689562691,0.519,26846,Tyler Johnson,0,0,0,9.507246377,0.481,24840,MIA,51686,1.480594358
-2.202528229,1,22229,Tyler ZellerBOSAll1,370.483333333,0,1,All,0,0,0,0,370.483333333,0,0,0,0,0,Tyler Zeller,0,0,0,0,0,0,BOS,22229,5
0,0,0,Tyreke EvansNOPAll1,765.25,4.333333333,1,All,0,0.011,511,8.516666667,0,295.95,456.45,0,0.006,260,Tyreke Evans,0.810947795,0.387,17757,-1.577390733,0.596,27387,NOP,45915,2.403332244
-14.153249273,1,61860,Tyson ChandlerPHXAll1,1031,0,1,All,0,0,0,0,1031,0,0,0,0,0,Tyson Chandler,0,0,0,0,0,0,PHX,61860,5
0,0,0,Tyus JonesMINAll1,110.416666667,107.383333333,1,All,0,0,0,0,0,0,3.033333333,-28.160794661,0.973,6443,Tyus Jones,0,0,0,-142.417582418,0.027,182,MIN,6625,1.027471698
-1.300225734,0.367,4430,Udonis HaslemMIAAll1,201,0,1,All,-5.661861075,0.633,7630,127.166666667,73.833333333,0,0,0,0,0,Udonis Haslem,0,0,0,0,0,0,MIA,12060,4.367330017
0,0,0,Victor OladipoORLAll1,1463.266666667,459.7,1,All,0,0,0,0,0,6.916666667,996.65,2.297150315,0.314,27582,Victor Oladipo,0,0.005,415,-4.093713942,0.681,59799,ORL,87796,1.690566768
0,0,0,Vince CarterMEMAll1,421.433333333,0,1,All,31.616766467,0.04,1002,16.7,0,224.15,180.583333333,0,0,0,Vince Carter,-5.781842516,0.532,13449,-7.17674204,0.428,10835,MEM,25286,2.611128688
-5.708622398,1,4036,Walter TavaresATLAll1,67.266666667,0,1,All,0,0,0,0,67.266666667,0,0,0,0,0,Walter Tavares,0,0,0,0,0,0,ATL,4036,5
0,0,0,Wayne EllingtonBKNAll1,1050.95,6.566666667,1,All,0,0,0,0,0,25.916666667,1018.466666667,0,0.006,394,Wayne Ellington,-11.112540193,0.025,1555,-9.661582771,0.969,61108,BKN,63057,2.018411913
0,0.007,408,Wesley JohnsonLACAll1,1012.6,0,1,All,3.803402813,0.748,45433,757.216666667,6.8,248.583333333,0,0,0,0,Wesley Johnson,2.317130406,0.245,14915,0,0,0,LAC,60756,3.761225229
0,0.001,126,Wesley MatthewsDALAll1,1690.133333333,0,1,All,12.342857143,0.028,2800,46.666666667,2.1,1030.516666667,610.85,0,0,0,Wesley Matthews,1.071307273,0.61,61831,0.942948351,0.361,36651,DAL,101408,2.668675055
0,0,3,Will BartonDENAll1,1518.383333333,0,1,All,-14.436090226,0.031,2793,46.55,0.05,1036.45,435.333333333,0,0,0,Will Barton,-3.05658739,0.683,62187,2.646248086,0.287,26120,DEN,91103,2.744015016
9.44329603,0.3,14029,Willie Cauley-SteinSACAll1,778.666666667,0,1,All,-2.466733963,0.7,32691,544.85,233.816666667,0,0,0,0,0,Willie Cauley-Stein,0,0,0,0,0,0,SAC,46720,4.300278253
-4.731135692,0.571,9131,Willie ReedBKNAll1,266.416666667,0,1,All,-10.504814707,0.429,6854,114.233333333,152.183333333,0,0,0,0,0,Willie Reed,0,0,0,0,0,0,BKN,15985,4.571223022
0,0,0,Zach LaVineMINAll1,1274.216666667,774.466666667,1,All,0,0,0,0,0,0,499.75,-9.048807782,0.608,46468,Zach LaVine,0,0,0,-4.130065033,0.392,29985,MIN,76453,1.392201745
4.203983614,0.263,21237,Zach RandolphMEMAll1,1347.783333333,0,1,All,-2.17340265,0.737,59630,993.833333333,353.95,0,0,0,0,0,Zach Randolph,0,0,0,0,0,0,MEM,80867,4.262616395
1.628646075,1,88417,Zaza PachuliaDALAll1,1474,0,1,All,0,0,23,0.383333333,1473.616666667,0,0,0,0,0,Zaza Pachulia,0,0,0,0,0,0,DAL,88440,4.999739937
