,BetterPPP,FG,FGA,FGAG,FGM,FGMG,FGm,FGmG,FT,GP,PPG,PPP,PlusOne,Points,Poss,PossG,SF,Score,TO,TeamIDSID,TeamName,TeamNameAbbreviation,TeamShortName,Time,WorsePPP,aFG,name,season,seasonType
16,0,42.0594633793,1379,16.8170731707,580,7.07317073171,799,9.74390243902,4.69887491727,82,20.2073170732,1.09661996365,0.794176042356,1657,1511,18.4268292683,4.3017868961,42.2236929186,4.831237591,1610612744,Golden State Warriors,GSW,GoldenState,16.5534992218,29,56.1276287165,Offensive,2015,Reg
17,15,38.6852085967,1582,19.2926829268,612,7.46341463415,970,11.8292682927,5.33484676504,82,20.5609756098,0.956866979599,0.908059023837,1686,1762,21.487804878,5.10783200908,38.933030647,5.73212258797,1610612748,Miami Heat,MIA,Miami,20.4645996094,14,49.0834386852,Offensive,2015,Reg
18,16,37.5954198473,1572,19.1707317073,591,7.20731707317,981,11.9634146341,3.81231671554,82,19.8902439024,0.956597983837,0.821114369501,1631,1705,20.7926829268,3.3431085044,37.4780058651,4.86803519062,1610612752,New York Knicks,NYK,NewYork,19.6270008087,13,48.6959287532,Offensive,2015,Reg
19,27,35.8227848101,1580,19.2682926829,566,6.90243902439,1014,12.3658536585,4.68839336764,82,19.2804878049,0.903945028782,0.686106346484,1581,1749,21.3292682927,4.28816466552,36.0777587193,5.66037735849,1610612743,Denver Nuggets,DEN,Denver,19.4139003754,2,46.5189873418,Offensive,2015,Reg
20,18,37.7585056704,1499,18.2804878049,566,6.90243902439,933,11.3780487805,4.94341870161,82,19.512195122,0.952947974205,0.536033353186,1600,1679,20.4756097561,4.1095890411,37.7605717689,6.31328171531,1610612756,Phoenix Suns,PHX,Phoenix,18.2598991394,11,49.4663108739,Offensive,2015,Reg
21,26,38.1395348837,1505,18.3536585366,574,7.0,931,11.3536585366,5.83680762359,82,19.0853658537,0.932102024555,1.25074449077,1565,1679,20.4756097561,5.06253722454,38.3561643836,5.71768910066,1610612740,New Orleans Pelicans,NOP,NewOrleans,18.89909935,3,47.8073089701,Offensive,2015,Reg
22,21,37.861466039,1487,18.1341463415,563,6.86585365854,924,11.2682926829,4.66101694915,82,18.9268292683,0.939467012882,0.90799031477,1552,1652,20.1463414634,3.99515738499,37.5907990315,6.11380145278,1610612751,Brooklyn Nets,BKN,Brooklyn,18.7131996155,8,48.4532616005,Offensive,2015,Reg
23,4,39.2592592593,1350,16.4634146341,530,6.46341463415,820,10.0,3.84615384615,82,18.487804878,1.02294003963,0.674763832659,1516,1482,18.0731707317,3.57624831309,38.8663967611,5.66801619433,1610612746,Los Angeles Clippers,LAC,LAClippers,17.0149002075,25,52.7037037037,Offensive,2015,Reg
24,17,37.1830985915,1420,17.3170731707,528,6.43902439024,892,10.8780487805,2.8627195836,82,17.9146341463,0.955757975578,0.455432661028,1469,1537,18.743902439,2.60247234873,36.6297983084,5.20494469746,1610612760,Oklahoma City Thunder,OKC,OklahomaCity,16.6431999207,12,49.3309859155,Offensive,2015,Reg
25,29,37.5352112676,1420,17.3170731707,533,6.5,887,10.8170731707,4.87650411653,82,17.2682926829,0.896770000458,1.01329955668,1416,1579,19.256097561,4.62317922736,37.4920835972,6.20645978467,1610612749,Milwaukee Bucks,MIL,Milwaukee,18.066400528,0,45.6338028169,Offensive,2015,Reg
26,28,36.1437456807,1447,17.6463414634,523,6.37804878049,924,11.2682926829,3.89030612245,82,17.1707317073,0.897958993912,0.956632653061,1408,1568,19.1219512195,3.50765306122,35.9056122449,4.7193877551,1610612763,Memphis Grizzlies,MEM,Memphis,17.9466991425,1,45.8534899793,Offensive,2015,Reg
27,25,39.6472392638,1304,15.9024390244,517,6.30487804878,787,9.59756097561,3.85409497591,82,16.5243902439,0.932552993298,0.688231245699,1355,1453,17.7195121951,3.44115622849,38.3344803854,7.01995870613,1610612750,Minnesota Timberwolves,MIN,Minnesota,16.4964008331,4,48.8113496933,Offensive,2015,Reg
28,19,37.1589085072,1246,15.1951219512,463,5.64634146341,783,9.5487804878,4.0500736377,82,15.7317073171,0.949926018715,0.294550810015,1290,1358,16.5609756098,3.75552282769,37.7761413844,4.49189985272,1610612754,Indiana Pacers,IND,Indiana,15.1596002579,10,48.2343499197,Offensive,2015,Reg
29,24,36.2802335279,1199,14.6219512195,435,5.30487804878,764,9.31707317073,4.40835266821,82,14.7073170732,0.932714998722,0.77339520495,1206,1293,15.7682926829,4.17633410673,37.1229698376,3.63495746326,1610612747,Los Angeles Lakers,LAL,LALakers,14.5641002655,5,46.5804837364,Offensive,2015,Reg
