,AGE,AST_PCT,AST_RATIO,AST_TO,CFID,CFPARAMS,DEF_RATING,DREB_PCT,EFG_PCT,FGA,FGA_PG,FGM,FGM_PG,FG_PCT,GP,L,MIN,NET_RATING,OFF_RATING,OREB_PCT,PACE,PIE,PLAYER_ID,PLAYER_NAME,REB_PCT,TEAM_ABBREVIATION,TEAM_ID,TM_TOV_PCT,TS_PCT,USG_PCT,W,W_PCT
41,33.0,0.144,14.8,1.56,5,"766,1610612760",101.0,0.158,0.515,66,5.5,28,2.3,0.424,12,6,16.6,-3.4,97.6,0.071,90.0,0.097,766,David Wingate,0.11,SEA,1610612760,9.5,0.537,0.192,6,0.5
42,30.0,0.044,10.4,4.0,5,"1051,1610612750",121.4,0.203,0.517,29,9.7,15,5.0,0.517,3,3,40.4,-6.7,114.7,0.17,90.32,0.085,1051,Dean Garrett,0.183,MIN,1610612750,2.6,0.569,0.131,0,0.0
43,33.0,0.143,20.6,5.0,5,"209,1610612766",138.3,0.0,0.324,17,5.7,5,1.7,0.294,3,3,17.6,-35.5,102.8,0.022,83.49,0.03,209,Dell Curry,0.013,CHH,1610612766,4.1,0.382,0.178,0,0.0
44,36.0,0.079,18.3,0.96,5,"23,1610612741",97.5,0.232,0.395,81,4.3,30,1.6,0.37,19,4,28.7,4.7,102.3,0.123,85.9,0.062,23,Dennis Rodman,0.175,CHI,1610612741,19.0,0.427,0.106,15,0.789
45,28.0,0.102,16.7,2.5,5,"192,1610612753",115.2,0.088,0.326,23,4.6,6,1.2,0.261,5,3,19.2,-23.1,92.1,0.022,83.85,0.01,192,Dennis Scott,0.053,ORL,1610612753,6.7,0.326,0.131,2,0.4
46,22.0,0.261,24.7,1.0,5,"965,1610612747",83.8,0.094,0.273,11,1.8,3,0.5,0.273,6,3,5.8,18.5,102.3,0.0,93.69,-0.013,965,Derek Fisher,0.054,LAL,1610612747,24.7,0.325,0.243,3,0.5
47,29.0,0.043,5.8,0.29,5,"400,1610612753",110.8,0.179,0.525,40,8.0,21,4.2,0.525,5,3,40.3,-17.9,93.0,0.117,82.37,0.09,400,Derek Strong,0.147,ORL,1610612753,20.3,0.598,0.169,2,0.4
48,34.0,0.147,17.9,2.28,5,"96,1610612760",105.4,0.125,0.528,142,11.8,67,5.6,0.472,12,6,39.4,7.2,112.6,0.051,91.52,0.106,96,Detlef Schrempf,0.088,SEA,1610612760,7.8,0.595,0.185,6,0.5
49,31.0,0.062,8.8,0.65,5,"87,1610612737",103.2,0.234,0.628,86,8.6,54,5.4,0.628,10,6,42.7,-3.3,99.9,0.116,83.94,0.169,87,Dikembe Mutombo,0.179,ATL,1610612737,13.6,0.674,0.158,4,0.4
50,23.0,0.0,0.0,0.0,5,"690,1610612765",50.0,0.2,0.0,0,0.0,0,0.0,0.0,1,1,3.4,49.1,99.1,0.0,136.69,0.714,690,Don Reid,0.143,DET,1610612765,0.0,1.136,0.194,0,0.0
51,31.0,0.0,0.0,0.0,5,"140,1610612766",141.7,0.5,0.0,1,1.0,0,0.0,0.0,1,1,4.4,-85.4,56.3,0.0,101.33,0.0,140,Donald Royal,0.25,CHH,1610612766,0.0,0.0,0.113,0,0.0
52,23.0,0.111,14.8,0.5,5,"112,1610612757",92.1,0.111,1.0,2,0.7,2,0.7,1.0,3,2,5.4,8.5,100.5,0.0,86.76,0.222,112,Dontonio Wingfield,0.074,POR,1610612757,29.6,1.064,0.181,1,0.333
53,30.0,0.105,18.2,6.0,5,"28,1610612750",120.1,0.063,0.545,22,7.3,12,4.0,0.545,3,3,30.4,-16.0,104.0,0.0,90.66,0.068,28,Doug West,0.027,MIN,1610612750,3.0,0.636,0.139,0,0.0
54,34.0,0.2,25.0,0.0,5,"291,1610612748",150.2,0.0,0.667,3,1.5,2,1.0,0.667,2,0,3.1,-25.9,124.2,0.0,101.69,0.104,291,Ed Pinckney,0.0,MIA,1610612748,0.0,0.667,0.233,2,1.0
55,38.0,0.066,6.9,1.43,5,"698,1610612745",110.6,0.083,0.47,117,7.3,48,3.0,0.41,16,7,18.1,-4.4,106.3,0.065,89.64,0.085,698,Eddie Johnson,0.074,HOU,1610612745,4.8,0.521,0.224,9,0.563
56,25.0,0.199,22.4,2.23,5,"224,1610612747",110.0,0.101,0.521,72,8.0,33,3.7,0.458,9,5,33.2,-9.5,100.5,0.033,85.2,0.104,224,Eddie Jones,0.066,LAL,1610612747,10.0,0.578,0.167,4,0.444
57,28.0,0.064,6.8,0.64,5,"922,1610612747",102.1,0.109,0.403,93,10.3,37,4.1,0.398,9,5,32.4,-0.2,101.8,0.063,83.6,0.072,922,Elden Campbell,0.086,LAL,1610612747,10.5,0.483,0.219,4,0.444
58,29.0,0.136,19.8,1.29,5,"695,1610612737",111.2,0.075,0.5,26,2.6,11,1.1,0.423,10,6,12.6,-14.6,96.6,0.029,86.49,0.051,695,Eldridge Recasner,0.052,ATL,1610612737,15.4,0.525,0.14,4,0.4
59,26.0,0.0,0.0,0.0,5,"15,1610612746",126.2,0.056,0.455,11,3.7,4,1.3,0.364,3,3,13.3,-12.2,114.0,0.027,79.76,0.045,15,Eric Piatkowski,0.036,LAC,1610612746,0.0,0.568,0.18,0,0.0
60,24.0,0.316,50.3,0.0,5,"727,1610612760",95.8,0.051,0.545,11,1.4,5,0.6,0.455,8,4,6.2,24.4,120.2,0.0,92.09,0.096,727,Eric Snow,0.023,SEA,1610612760,0.0,0.547,0.111,4,0.5
61,28.0,0.338,24.7,2.97,5,"56,1610612760",104.5,0.097,0.461,255,21.3,105,8.8,0.412,12,6,47.3,7.1,111.7,0.041,90.68,0.133,56,Gary Payton,0.069,SEA,1610612760,8.3,0.506,0.259,6,0.5
62,22.0,0.16,9.1,0.67,5,"718,1610612757",109.3,0.171,0.448,29,7.3,13,3.3,0.448,4,3,16.2,-16.8,92.6,0.102,81.61,0.061,718,Gary Trent,0.133,POR,1610612757,13.7,0.473,0.308,1,0.25
63,33.0,0.056,6.9,1.33,5,"786,1610612753",100.8,0.048,0.389,45,9.0,16,3.2,0.356,5,3,29.4,-1.4,99.4,0.024,84.59,0.049,786,Gerald Wilkins,0.036,ORL,1610612753,5.2,0.459,0.19,2,0.4
64,26.0,0.0,0.0,0.0,5,"49,1610612764",108.9,0.239,0.444,9,3.0,4,1.3,0.444,3,3,24.0,-16.9,92.0,0.038,85.22,0.065,49,Gheorghe Muresan,0.151,WAS,1610612764,46.8,0.599,0.162,0,0.0
65,30.0,0.138,13.4,2.75,5,"779,1610612766",115.8,0.106,0.544,57,19.0,28,9.3,0.491,3,3,47.6,-6.7,109.1,0.009,84.98,0.131,779,Glen Rice,0.053,CHH,1610612766,4.9,0.618,0.244,0,0.0
66,24.0,0.29,16.2,1.42,5,"255,1610612765",105.5,0.153,0.437,103,20.6,45,9.0,0.437,5,3,42.5,-3.5,101.9,0.077,80.52,0.139,255,Grant Hill,0.111,DET,1610612765,11.4,0.491,0.354,2,0.4
67,31.0,0.06,11.6,0.0,5,"3,1610612765",98.7,0.115,0.444,18,3.6,8,1.6,0.444,5,3,18.2,11.1,109.9,0.057,79.39,0.081,3,Grant Long,0.084,DET,1610612765,0.0,0.547,0.141,2,0.4
68,28.0,0.063,10.3,1.0,5,"323,1610612762",108.3,0.169,0.403,72,3.6,28,1.4,0.389,20,7,15.9,-7.9,100.3,0.065,87.58,0.043,323,Greg Foster,0.118,UTA,1610612762,10.3,0.493,0.152,13,0.65
69,26.0,0.188,26.4,6.0,5,"37,1610612760",87.7,0.122,0.321,14,2.3,4,0.7,0.286,6,3,7.9,26.7,114.4,0.0,97.43,0.059,37,Greg Graham,0.069,SEA,1610612760,4.4,0.381,0.171,3,0.5
70,24.0,0.02,4.9,0.33,5,"731,1610612762",98.7,0.207,0.41,83,4.2,34,1.7,0.41,20,7,23.5,11.8,110.5,0.135,84.78,0.066,731,Greg Ostertag,0.173,UTA,1610612762,14.7,0.478,0.12,13,0.65
71,34.0,0.167,13.7,1.17,5,"165,1610612745",109.2,0.234,0.59,249,15.6,147,9.2,0.59,16,7,40.5,2.2,111.3,0.092,88.13,0.176,165,Hakeem Olajuwon,0.166,HOU,1610612745,11.7,0.628,0.253,9,0.563
72,31.0,0.0,0.0,0.0,5,"265,1610612764",101.4,0.143,0.0,3,1.0,0,0.0,0.0,3,3,9.8,-14.0,87.4,0.0,95.48,-0.04,265,Harvey Grant,0.075,WAS,1610612764,0.0,0.0,0.047,0,0.0
73,31.0,0.095,10.5,0.5,5,"1080,1610612737",114.4,0.0,0.308,13,1.6,3,0.4,0.231,8,5,5.8,-30.5,84.0,0.028,89.64,-0.133,1080,Henry James,0.015,ATL,1610612737,21.1,0.308,0.172,3,0.375
74,39.0,0.0,0.0,0.0,5,"1006,1610612752",120.5,0.071,0.4,5,1.7,2,0.7,0.4,3,2,7.3,-27.9,92.6,0.0,86.99,-0.027,1006,Herb Williams,0.037,NYK,1610612752,0.0,0.4,0.119,1,0.333
75,30.0,0.11,16.8,1.62,5,"765,1610612760",104.4,0.088,0.572,132,11.0,62,5.2,0.47,12,6,41.8,8.2,112.6,0.04,91.74,0.099,765,Hersey Hawkins,0.064,SEA,1610612760,10.4,0.621,0.154,6,0.5
76,34.0,0.048,10.9,0.6,5,"73,1610612756",119.0,0.146,0.533,15,3.0,8,1.6,0.533,5,3,21.2,-19.2,99.7,0.106,90.57,0.046,73,Hot Rod Williams,0.126,PHX,1610612756,18.2,0.515,0.108,2,0.4
77,24.0,0.345,27.5,2.35,5,"458,1610612762",106.4,0.076,0.559,76,3.8,38,1.9,0.5,20,7,11.3,3.2,109.6,0.023,89.67,0.132,458,Howard Eisley,0.051,UTA,1610612762,11.7,0.634,0.223,13,0.65
78,27.0,0.045,4.9,0.27,5,"1134,1610612748",97.3,0.198,0.451,81,5.4,36,2.4,0.444,15,8,19.9,-1.8,95.5,0.074,83.35,0.092,1134,Ike Austin,0.14,MIA,1610612748,17.9,0.518,0.205,7,0.467
