Receiver_Name,Passer_Name,Assists
"Thomas, Isaiah","Sullinger, Jared",59
"Pierce, Paul","Paul, Chris",59
"Lopez, Robin","Anthony, Carmelo",59
"Bosh, Chris","Wade, Dwyane",58
"Favors, Derrick","Hood, Rodney",58
"Favors, Derrick","Hayward, Gordon",58
"Millsap, Paul","Bazemore, Kent",58
"Oladipo, Victor","Payton, Elfrid",58
"Davis, Anthony","Evans, Tyreke",57
"Collison, Darren","Rondo, Rajon",57
"Thompson, Hollis","McConnell, TJ",57
"Casspi, Omri","Collison, Darren",57
"Duncan, Tim","Parker, Tony",57
"Thompson, Tristan","Dellavedova, Matthew",57
"Matthews, Wesley","Williams, Deron",57
"Randolph, Zach","Conley, Mike",57
"Bogut, Andrew","Curry, Stephen",56
"Afflalo, Arron","Calderon, Jose",56
"Jokic, Nikola","Mudiay, Emmanuel",56
"Redick, JJ","Griffin, Blake",55
"Love, Kevin","Irving, Kyrie",55
"Covington, Robert","Smith, Ish",55
"Middleton, Khris","Antetokounmpo, Giannis",54
"Scola, Luis","DeRozan, DeMar",54
"Plumlee, Mason","McCollum, CJ",54
"Scott, Mike","Schroder, Dennis",54
"Ross, Terrence","Lowry, Kyle",54
"Young, Thaddeus","Sloan, Donald",54
"Crabbe, Allen","McCollum, CJ",53
"Barnes, Harrison","Curry, Stephen",53
"Conley, Mike","Gasol, Marc",53
"Mirotic, Nikola","Butler, Jimmy",53
"Lopez, Robin","Calderon, Jose",53
"Wiggins, Andrew","Towns, Karl-Anthony",52
"Zeller, Cody","Walker, Kemba",52
"Hill, George","George, Paul",52
"Koufos, Kosta","Rondo, Rajon",52
"Korver, Kyle","Millsap, Paul",52
"Mozgov, Timofey","James, LeBron",52
"Bradley, Avery","Sullinger, Jared",51
"Lopez, Brook","Larkin, Shane",51
"Green, Danny","Parker, Tony",51
"Dieng, Gorgui","LaVine, Zach",51
"Towns, Karl-Anthony","LaVine, Zach",51
"Bazemore, Kent","Teague, Jeff",51
"Middleton, Khris","Monroe, Greg",51
"Thompson, Klay","Bogut, Andrew",51
"Ross, Terrence","Joseph, Cory",51
"Harris, Tobias","Jackson, Reggie",51
"Johnson, Wesley","Paul, Chris",51
"Pachulia, Zaza","Williams, Deron",51
"Anthony, Carmelo","Calderon, Jose",50
"Cousins, DeMarcus","Collison, Darren",50
"Curry, Stephen","Iguodala, Andre",50
"Aminu, Al-Farouq","McCollum, CJ",49
"Valanciunas, Jonas","DeRozan, DeMar",49
"Dellavedova, Matthew","James, LeBron",49
"Bradley, Avery","Turner, Evan",48
"Harris, Gary","Jokic, Nikola",48
"Antetokounmpo, Giannis","Carter-Williams, Michael",48
"Smith, Jason","Oladipo, Victor",48
"Clarkson, Jordan","Bryant, Kobe",48
"Towns, Karl-Anthony","Wiggins, Andrew",48
"McCollum, CJ","Plumlee, Mason",47
"Monroe, Greg","Carter-Williams, Michael",47
"Grant, Jerami","McConnell, TJ",47
"Bazemore, Kent","Millsap, Paul",47
"Bryant, Kobe","Russell, D'Angelo",47
"Speights, Marreese","Livingston, Shaun",47
"Turner, Myles","George, Paul",47
"Turner, Myles","Ellis, Monta",47
"Vucevic, Nikola","Oladipo, Victor",47
"Patterson, Patrick","Joseph, Cory",47
"Covington, Robert","McConnell, TJ",47
"Young, Thaddeus","Johnson, Joe",47
"Harris, Tobias","Payton, Elfrid",47
"Zeller, Tyler","Turner, Evan",47
"Matthews, Wesley","Felton, Raymond",47
"Afflalo, Arron","Anthony, Carmelo",46
"Parker, Jabari","Carter-Williams, Michael",46
"Leuer, Jon","Knight, Brandon",46
"Clarkson, Jordan","Russell, D'Angelo",46
"Young, Thaddeus","Larkin, Shane",46
"Ariza, Trevor","Beverley, Patrick",46
"Thompson, Tristan","James, LeBron",46
"Horford, Al","Millsap, Paul",45
