,AGE,BLK,BLKA,CFID,CFPARAMS,GP,L,MIN,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_OFF_TOV,OPP_PTS_PAINT,PF,PFD,PLAYER_ID,PLAYER_NAME,PTS_2ND_CHANCE,PTS_FB,PTS_OFF_TOV,PTS_PAINT,TEAM_ABBREVIATION,TEAM_ID,W,W_PCT
112,22.0,0.034,0.006,5,"708,1610612750",5,3,0.54,0.162,0.156,0.195,0.464,0.047,0.003,708,Kevin Garnett,0.045,0.006,0.05,0.134,MIN,1610612750.0,2,0.4
113,32.0,0.004,0.0,5,"134,1610612756",4,3,0.511,0.13,0.117,0.109,0.401,0.025,0.0,134,Kevin Johnson,0.008,0.008,0.017,0.05,PHX,1610612756.0,1,0.25
114,35.0,0.01,0.026,5,"788,1610612745",5,3,0.538,0.102,0.15,0.182,0.421,0.067,0.0,788,Kevin Willis,0.054,0.013,0.029,0.089,HOU,1610612745.0,2,0.4
115,19.0,0.019,0.026,5,"977,1610612747",11,6,0.516,0.123,0.135,0.16,0.418,0.065,0.002,977,Kobe Bryant,0.021,0.021,0.016,0.088,LAL,1610612747.0,5,0.455
116,29.0,0.005,0.01,5,"913,1610612752",8,5,0.533,0.077,0.062,0.182,0.331,0.052,0.0,913,Larry Johnson,0.048,0.028,0.041,0.162,NYK,1610612752.0,3,0.375
117,29.0,0.018,0.015,5,"26,1610612741",18,6,0.556,0.135,0.091,0.156,0.394,0.089,0.0,26,Luc Longley,0.049,0.017,0.026,0.095,CHI,1610612741.0,12,0.667
118,27.0,0.0,0.0,5,"446,1610612751",3,3,0.518,0.211,0.12,0.19,0.481,0.11,0.0,446,Lucious Harris,0.01,0.02,0.02,0.02,NJN,1610612751.0,0,0.0
119,23.0,0.0,0.055,5,"990,1610612759",5,1,0.475,0.055,0.111,0.304,0.442,0.055,0.0,990,Malik Rose,0.0,0.111,0.0,0.166,SAS,1610612759.0,4,0.8
120,24.0,0.051,0.0,5,"712,1610612747",4,1,0.51,0.407,0.051,0.102,0.713,0.102,0.0,712,Mario Bennett,0.102,0.0,0.0,0.102,LAL,1610612747.0,3,0.75
121,34.0,0.0,0.0,5,"53,1610612745",5,3,0.539,0.125,0.166,0.202,0.452,0.04,0.0,53,Mario Elie,0.016,0.024,0.028,0.065,HOU,1610612745.0,2,0.4
122,33.0,0.011,0.022,5,"95,1610612756",4,3,0.524,0.117,0.106,0.117,0.445,0.089,0.0,95,Mark Bryant,0.061,0.006,0.033,0.145,PHX,1610612756.0,1,0.25
123,33.0,0.0,0.008,5,"349,1610612754",16,6,0.539,0.156,0.143,0.182,0.427,0.031,0.0,349,Mark Jackson,0.009,0.011,0.02,0.072,IND,1610612754.0,10,0.625
124,25.0,0.0,0.0,5,"998,1610612754",7,3,0.506,0.098,0.098,0.233,0.27,0.098,0.0,998,Mark Pope,0.025,0.061,0.025,0.098,IND,1610612754.0,4,0.571
125,27.0,0.02,0.0,5,"1110,1610612748",3,2,0.555,0.182,0.182,0.303,0.283,0.081,0.0,1110,Mark Strickland,0.081,0.081,0.081,0.162,MIA,1610612748.0,1,0.333
126,37.0,0.0,0.0,5,"770,1610612754",4,1,0.518,0.095,0.0,0.095,0.095,0.189,0.0,770,Mark West,0.0,0.0,0.0,0.095,IND,1610612754.0,3,0.75
127,21.0,0.0,0.0,5,"1527,1610612756",2,2,0.338,0.0,0.337,0.0,0.337,0.084,0.0,1527,Marko Milic,0.0,0.0,0.168,0.337,PHX,1610612756.0,0,0.0
128,30.0,0.012,0.0,5,"55,1610612748",3,2,0.526,0.174,0.105,0.244,0.441,0.081,0.0,55,Marty Conlon,0.0,0.0,0.023,0.046,MIA,1610612748.0,1,0.333
129,31.0,0.0,0.0,5,"672,1610612745",5,3,0.524,0.067,0.082,0.156,0.312,0.037,0.0,672,Matt Bullard,0.015,0.0,0.037,0.015,HOU,1610612745.0,2,0.4
130,28.0,0.0,0.0,5,"761,1610612766",4,2,0.56,0.148,0.099,0.148,0.346,0.049,0.0,761,Matt Geiger,0.049,0.0,0.0,0.049,CHH,1610612766.0,2,0.5
131,26.0,0.006,0.003,5,"1074,1610612745",5,3,0.529,0.102,0.124,0.175,0.344,0.035,0.0,1074,Matt Maloney,0.006,0.016,0.01,0.019,HOU,1610612745.0,2,0.4
132,35.0,0.008,0.008,5,"893,1610612741",21,6,0.551,0.129,0.107,0.142,0.391,0.03,0.0,893,Michael Jordan,0.062,0.034,0.076,0.14,CHI,1610612741.0,15,0.714
133,31.0,0.009,0.009,5,"52,1610612750",4,2,0.54,0.15,0.15,0.103,0.319,0.132,0.009,52,Micheal Williams,0.019,0.038,0.019,0.019,MIN,1610612750.0,2,0.5
134,26.0,0.0,0.018,5,"42,1610612759",5,1,0.51,0.035,0.123,0.193,0.422,0.035,0.0,42,Monty Williams,0.07,0.123,0.035,0.141,SAS,1610612759.0,4,0.8
135,31.0,0.004,0.0,5,"302,1610612737",4,3,0.563,0.114,0.11,0.162,0.448,0.029,0.0,302,Mookie Blaylock,0.007,0.044,0.048,0.073,ATL,1610612737.0,1,0.25
136,33.0,0.011,0.0,5,"203,1610612760",7,4,0.547,0.199,0.132,0.188,0.419,0.094,0.0,203,Nate McMillan,0.011,0.0,0.0,0.011,SEA,1610612760.0,3,0.429
137,26.0,0.001,0.017,5,"89,1610612747",13,6,0.534,0.142,0.138,0.183,0.433,0.044,0.0,89,Nick Van Exel,0.017,0.035,0.035,0.058,LAL,1610612747.0,7,0.538
138,24.0,0.024,0.024,5,"970,1610612745",3,3,0.532,0.19,0.119,0.142,0.475,0.024,0.0,970,Othella Harrington,0.119,0.0,0.0,0.237,HOU,1610612745.0,0,0.0
139,28.0,0.009,0.0,5,"136,1610612748",5,3,0.547,0.147,0.17,0.218,0.385,0.063,0.0,136,P.J. Brown,0.034,0.0,0.014,0.075,MIA,1610612748.0,2,0.4
140,35.0,0.02,0.02,5,"121,1610612752",4,3,0.535,0.121,0.077,0.19,0.339,0.065,0.0,121,Patrick Ewing,0.04,0.016,0.048,0.121,NYK,1610612752.0,1,0.25
141,30.0,0.0,0.015,5,"753,1610612741",14,4,0.563,0.122,0.152,0.167,0.411,0.046,0.0,753,Randy Brown,0.0,0.023,0.015,0.015,CHI,1610612741.0,10,0.714
142,23.0,0.006,0.003,5,"739,1610612757",4,3,0.506,0.112,0.17,0.193,0.558,0.051,0.0,739,Rasheed Wallace,0.029,0.006,0.022,0.071,POR,1610612757.0,1,0.25
143,24.0,0.0,0.0,5,"1002,1610612759",7,3,0.524,0.136,0.102,0.238,0.34,0.113,0.0,1002,Reggie Geary,0.0,0.023,0.023,0.023,SAS,1610612759.0,4,0.571
144,30.0,0.0,0.018,5,"674,1610612750",2,2,0.543,0.128,0.274,0.146,0.474,0.091,0.0,674,Reggie Jordan,0.036,0.055,0.073,0.073,MIN,1610612750.0,0,0.0
145,32.0,0.003,0.01,5,"397,1610612754",16,6,0.543,0.175,0.134,0.172,0.417,0.022,0.0,397,Reggie Miller,0.029,0.035,0.069,0.047,IND,1610612754.0,10,0.625
146,30.0,0.0,0.0,5,"364,1610612756",2,1,0.522,0.172,0.144,0.163,0.65,0.009,0.0,364,Rex Chapman,0.018,0.018,0.036,0.054,PHX,1610612756.0,1,0.5
147,28.0,0.004,0.01,5,"296,1610612747",13,6,0.528,0.188,0.125,0.184,0.469,0.058,0.0,296,Rick Fox,0.015,0.027,0.047,0.052,LAL,1610612747.0,7,0.538
