,GAME_ID,EVENTNUM,PERIOD,PCTIMESTRING,HOMEDESCRIPTION,NEUTRALDESCRIPTION,VISITORDESCRIPTION,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ID,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ID,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ID,ACTION_TYPE,EVENT_TYPE,GAME_EVENT_ID,LOC_X,LOC_Y,SHOT_DISTANCE,SHOT_MADE_FLAG,SHOT_TYPE,SHOT_ZONE_AREA,SHOT_ZONE_BASIC,SHOT_ZONE_RANGE
22,21200778,52,1,5:23,MISS Green 21' Jump Shot,,,201145,Jeff Green,1610612738.0,0,,,0,,,Jump Shot,Missed Shot,52,-136,165,21,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.
23,21200778,54,1,5:20,Bass 1' Putback Slam Dunk (6 PTS),,,101138,Brandon Bass,1610612738.0,0,,,0,,,Putback Slam Dunk Shot,Made Shot,54,4,12,1,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
24,21200778,58,1,4:52,Green  Dunk (2 PTS) (Pierce 3 AST),,,201145,Jeff Green,1610612738.0,1718,Paul Pierce,1610612738.0,0,,,Dunk Shot,Made Shot,58,2,3,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
25,21200778,67,1,4:13,,,MISS Boozer 5' Running Jump Shot,2430,Carlos Boozer,1610612741.0,0,,,0,,,Running Jump Shot,Missed Shot,67,-23,41,4,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.
26,21200778,69,1,4:09,MISS Bradley 1' Layup,,,202340,Avery Bradley,1610612738.0,0,,,0,,,Layup Shot,Missed Shot,69,-10,11,1,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
27,21200778,71,1,4:07,Bradley 1' Layup (6 PTS),,,202340,Avery Bradley,1610612738.0,0,,,0,,,Layup Shot,Made Shot,71,-7,-6,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
28,21200778,75,1,3:27,Bradley 20' Jump Shot (8 PTS),,,202340,Avery Bradley,1610612738.0,0,,,0,,,Jump Shot,Made Shot,75,-130,156,20,1,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.
29,21200778,76,1,3:03,,,Boozer 2' Driving Layup (5 PTS),2430,Carlos Boozer,1610612741.0,0,,,0,,,Driving Layup Shot,Made Shot,76,18,3,1,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
30,21200778,77,1,2:41,MISS Bradley 21' Jump Shot,,,202340,Avery Bradley,1610612738.0,0,,,0,,,Jump Shot,Missed Shot,77,51,208,21,0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.
31,21200778,84,1,2:18,,,MISS Deng 21' Jump Shot,2736,Luol Deng,1610612741.0,0,,,0,,,Jump Shot,Missed Shot,84,119,167,20,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.
32,21200778,88,1,1:49,,,Butler 20' Jump Shot (2 PTS) (Gibson 1 AST),202710,Jimmy Butler,1610612741.0,201959,Taj Gibson,1610612741.0,0,,,Jump Shot,Made Shot,88,-199,28,20,1,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.
33,21200778,89,1,1:23,MISS Lee 6' Jump Shot,,,201584,Courtney Lee,1610612738.0,0,,,0,,,Jump Shot,Missed Shot,89,-60,23,6,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.
34,21200778,92,1,1:15,MISS Terry 14' Jump Shot,,,1891,Jason Terry,1610612738.0,0,,,0,,,Jump Shot,Missed Shot,92,135,48,14,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.
35,21200778,94,1,0:56,,,MISS Butler 17' Jump Shot,202710,Jimmy Butler,1610612741.0,0,,,0,,,Jump Shot,Missed Shot,94,154,80,17,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.
36,21200778,103,1,0:28,,,Butler 16' Jump Shot (4 PTS) (Teague 1 AST),202710,Jimmy Butler,1610612741.0,203104,Marquis Teague,1610612741.0,0,,,Jump Shot,Made Shot,103,-158,-2,15,1,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.
37,21200778,110,1,0:00,,,MISS Deng  3PT Jump Shot,2736,Luol Deng,1610612741.0,0,,,0,,,Jump Shot,Missed Shot,110,-232,19,23,0,3PT Field Goal,Left Side(L),Left Corner 3,24+ ft.
38,21200778,115,2,11:42,,,Belinelli 2' Driving Layup (2 PTS) (Noah 2 AST),201158,Marco Belinelli,1610612741.0,201149,Joakim Noah,1610612741.0,0,,,Driving Layup Shot,Made Shot,115,15,12,1,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
39,21200778,116,2,11:16,Lee 25' 3PT Jump Shot (5 PTS) (Collins 1 AST),,,201584,Courtney Lee,1610612738.0,2215,Jason Collins,1610612738.0,0,,,Jump Shot,Made Shot,116,-153,198,25,1,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.
40,21200778,119,2,10:32,MISS Green 8' Jump Shot,,Butler BLOCK (1 BLK),201145,Jeff Green,1610612738.0,0,,,202710,Jimmy Butler,1610612741.0,Jump Shot,Missed Shot,119,-64,55,8,0,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.
