,AGE,BLK,CFID,CFPARAMS,DEF_RATING,DEF_WS,DREB,DREB_PCT,GP,L,MIN,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_OFF_TOV,OPP_PTS_PAINT,PCT_BLK,PCT_DREB,PCT_STL,PLAYER_ID,PLAYER_NAME,STL,TEAM_ABBREVIATION,TEAM_ID,W,W_PCT
12,25.0,0.016,5,"692,1610612738",101.4,0.001,0.071,0.179,81,45,0.507,0.15,0.14,0.183,0.479,0.395,0.271,0.221,692,Andrew DeClercq,0.028,BOS,1610612738,36,0.444
13,32.0,0.02,5,"457,1610612749",103.5,0.0,0.072,0.175,57,34,0.517,0.139,0.186,0.221,0.409,0.519,0.245,0.18,457,Andrew Lang,0.013,MIL,1610612749,23,0.404
14,26.0,0.013,5,"358,1610612753",101.6,0.001,0.057,0.123,19,9,0.524,0.178,0.168,0.183,0.439,0.203,0.187,0.259,358,Anfernee Hardaway,0.023,ORL,1610612753,10,0.526
15,34.0,0.005,5,"194,1610612752",102.5,0.001,0.04,0.094,27,16,0.522,0.111,0.106,0.189,0.382,0.111,0.125,0.133,194,Anthony Bowie,0.014,NYK,1610612752,11,0.407
16,26.0,0.002,5,"924,1610612743",110.2,0.0,0.025,0.06,82,71,0.519,0.171,0.129,0.2,0.433,0.032,0.093,0.23,924,Anthony Goldwire,0.02,DEN,1610612743,11,0.134
17,23.0,0.001,5,"1533,1610612758",105.3,0.0,0.027,0.061,77,52,0.507,0.156,0.178,0.188,0.48,0.027,0.093,0.184,1533,Anthony Johnson,0.014,SAC,1610612758,25,0.325
18,31.0,0.003,5,"193,1610612766",102.2,0.001,0.108,0.247,81,31,0.526,0.143,0.139,0.181,0.448,0.076,0.346,0.125,193,Anthony Mason,0.011,CHH,1610612766,50,0.617
19,26.0,0.006,5,"292,1610612737",110.3,0.0,0.085,0.205,37,12,0.485,0.147,0.164,0.212,0.531,0.188,0.294,0.333,292,Anthony Miller,0.032,ATL,1610612737,25,0.676
20,23.0,0.007,5,"1515,1610612755",101.8,0.001,0.045,0.106,37,19,0.487,0.132,0.177,0.215,0.38,0.167,0.15,0.262,1515,Anthony Parker,0.027,PHI,1610612755,18,0.486
21,28.0,0.003,5,"324,1610612750",106.1,0.0,0.037,0.082,38,19,0.509,0.184,0.147,0.157,0.485,0.048,0.121,0.318,324,Anthony Peeler,0.026,MIN,1610612750,19,0.5
