,AGE,CFID,CFPARAMS,GP,L,MIN,PCT_AST_2PM,PCT_AST_3PM,PCT_AST_FGM,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_UAST_2PM,PCT_UAST_3PM,PCT_UAST_FGM,PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,TEAM_ID,W,W_PCT
34,31.0,5,"769,1610612753",32,14,11.1,0.364,1.0,0.475,0.83,0.17,0.629,0.438,0.2,0.152,0.171,0.171,0.19,0.636,0.0,0.525,769,B.J. Armstrong,ORL,1610612753,18,0.563
35,26.0,5,"989,1610612752",8,3,2.5,0.857,0.0,0.857,1.0,0.0,0.824,0.118,0.0,0.235,0.176,0.235,0.706,0.143,0.0,0.143,989,Ben Davis,NYK,1610612752,5,0.625
36,24.0,5,"1112,1610612764",46,29,26.7,0.684,0.0,0.684,1.0,0.0,0.829,0.015,0.0,0.109,0.171,0.236,0.815,0.316,0.0,0.316,1112,Ben Wallace,WAS,1610612764,17,0.37
37,34.0,5,"104,1610612755",6,4,5.7,0.0,0.0,0.0,1.0,0.0,1.0,0.5,0.0,0.0,0.0,0.5,0.5,1.0,0.0,1.0,104,Benoit Benjamin,PHI,1610612755,2,0.333
38,27.0,5,"223,1610612750",35,15,10.7,0.821,1.0,0.828,0.931,0.069,0.718,0.282,0.038,0.051,0.244,0.192,0.436,0.179,0.0,0.172,223,Bill Curley,MIN,1610612750,20,0.571
39,36.0,5,"82,1610612741",38,28,11.8,0.902,1.0,0.903,0.994,0.006,0.853,0.685,0.021,0.014,0.126,0.175,0.168,0.098,0.0,0.097,82,Bill Wennington,CHI,1610612741,10,0.263
40,30.0,5,"182,1610612760",21,12,21.5,0.683,0.6,0.677,0.933,0.067,0.736,0.221,0.092,0.19,0.172,0.215,0.515,0.317,0.4,0.323,182,Billy Owens,SEA,1610612760,9,0.429
41,31.0,5,"902,1610612744",48,29,26.5,0.463,0.667,0.47,0.94,0.06,0.778,0.475,0.04,0.204,0.182,0.154,0.303,0.537,0.333,0.53,902,Bimbo Coles,GSW,1610612744,19,0.396
42,30.0,5,"183,1610612765",49,20,24.0,0.699,0.0,0.699,0.998,0.002,0.842,0.195,0.0,0.06,0.158,0.127,0.647,0.301,0.0,0.301,183,Bison Dele,DET,1610612765,29,0.592
43,33.0,5,"898,1610612748",24,7,11.9,0.75,0.75,0.75,0.861,0.139,0.727,0.364,0.156,0.182,0.117,0.273,0.364,0.25,0.25,0.25,898,Blue Edwards,MIA,1610612748,17,0.708
44,28.0,5,"448,1610612753",31,12,27.4,0.714,0.0,0.714,0.981,0.019,0.828,0.01,0.0,0.222,0.172,0.241,0.818,0.286,0.0,0.286,448,Bo Outlaw,ORL,1610612753,19,0.613
45,26.0,5,"682,1610612739",50,28,16.8,0.41,0.778,0.457,0.786,0.214,0.57,0.075,0.126,0.224,0.304,0.196,0.495,0.59,0.222,0.543,682,Bob Sura,CLE,1610612739,22,0.44
46,26.0,5,"1517,1610612750",50,25,18.8,0.366,0.5,0.376,0.922,0.078,0.742,0.34,0.085,0.204,0.173,0.238,0.402,0.634,0.5,0.624,1517,Bobby Jackson,MIN,1610612750,25,0.5
47,29.0,5,"184,1610612766",43,19,36.6,0.592,0.897,0.688,0.654,0.346,0.48,0.183,0.333,0.168,0.188,0.147,0.297,0.408,0.103,0.312,184,Bobby Phills,CHH,1610612766,24,0.558
48,22.0,5,"1719,1610612757",7,1,5.1,0.5,1.0,0.545,0.85,0.15,0.645,0.129,0.097,0.226,0.258,0.226,0.516,0.5,0.0,0.455,1719,Bonzi Wells,POR,1610612757,6,0.857
49,23.0,5,"1802,1610612766",38,18,12.3,0.792,0.0,0.782,0.986,0.014,0.647,0.059,0.013,0.118,0.34,0.21,0.588,0.208,1.0,0.218,1802,Brad Miller,CHH,1610612766,20,0.526
50,24.0,5,"1585,1610612759",3,0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1585,Brandon Williams,SAS,1610612759,3,1.0
51,27.0,5,"699,1610612741",37,27,31.9,0.483,0.981,0.667,0.517,0.483,0.432,0.131,0.379,0.182,0.189,0.274,0.301,0.517,0.019,0.333,699,Brent Barry,CHI,1610612741,10,0.27
52,30.0,5,"85,1610612745",40,14,20.3,0.426,0.717,0.56,0.459,0.541,0.37,0.089,0.473,0.226,0.158,0.175,0.281,0.574,0.283,0.44,85,Brent Price,HOU,1610612745,26,0.65
53,23.0,5,"1510,1610612739",39,19,30.5,0.455,0.0,0.455,0.984,0.016,0.718,0.338,0.0,0.161,0.282,0.223,0.381,0.545,0.0,0.545,1510,Brevin Knight,CLE,1610612739,20,0.513
54,25.0,5,"967,1610612750",16,13,8.9,0.667,1.0,0.769,0.705,0.295,0.529,0.412,0.353,0.176,0.118,0.059,0.118,0.333,0.0,0.231,967,Brian Evans,MIN,1610612750,3,0.188
