,AGE,CFID,CFPARAMS,GP,L,MIN,PCT_AST_2PM,PCT_AST_3PM,PCT_AST_FGM,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_UAST_2PM,PCT_UAST_3PM,PCT_UAST_FGM,PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,TEAM_ID,W,W_PCT
159,28.0,5,"35,1610612742",39,29,13.9,0.714,0.0,0.714,0.993,0.007,0.806,0.388,0.0,0.022,0.194,0.187,0.417,0.286,0.0,0.286,35,Eric Riley,DAL,1610612742,10,0.256
160,25.0,5,"727,1610612755",64,29,14.4,0.61,1.0,0.62,0.908,0.092,0.737,0.278,0.029,0.306,0.234,0.206,0.459,0.39,0.0,0.38,727,Eric Snow,PHI,1610612755,35,0.547
161,24.0,5,"1540,1610612743",66,59,23.3,0.688,0.818,0.716,0.725,0.275,0.614,0.309,0.258,0.159,0.127,0.139,0.305,0.312,0.182,0.284,1540,Eric Washington,DEN,1610612743,7,0.106
162,25.0,5,"677,1610612743",4,4,36.2,0.292,0.0,0.292,1.0,0.0,0.608,0.228,0.0,0.051,0.392,0.139,0.38,0.708,0.0,0.708,677,Eric Williams,DEN,1610612743,0,0.0
163,22.0,5,"956,1610612744",82,63,32.4,0.537,0.0,0.537,0.997,0.003,0.725,0.103,0.0,0.132,0.275,0.138,0.622,0.463,0.0,0.463,956,Erick Dampier,GSW,1610612744,19,0.232
164,24.0,5,"1065,1610612742",67,50,22.4,0.318,0.917,0.462,0.708,0.292,0.591,0.341,0.282,0.188,0.127,0.188,0.25,0.682,0.083,0.538,1065,Erick Strickland,DAL,1610612742,17,0.254
165,30.0,5,"911,1610612749",81,46,27.9,0.601,0.0,0.601,1.0,0.0,0.78,0.052,0.0,0.139,0.22,0.139,0.727,0.399,0.0,0.399,911,Ervin Johnson,MIL,1610612749,35,0.432
166,25.0,5,"1564,1610612754",5,0,2.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1564,Etdrick Bohannon,IND,1610612754,5,1.0
167,30.0,5,"280,1610612744",68,51,11.9,0.475,0.0,0.475,1.0,0.0,0.728,0.099,0.0,0.025,0.272,0.086,0.63,0.525,0.0,0.525,280,Felton Spencer,GSW,1610612744,17,0.25
168,25.0,5,"697,1610612754",65,20,13.5,0.811,0.938,0.859,0.617,0.383,0.406,0.215,0.368,0.218,0.226,0.226,0.192,0.189,0.063,0.141,697,Fred Hoiberg,IND,1610612754,45,0.692
169,33.0,5,"202,1610612757",22,11,16.4,0.333,1.0,0.442,0.796,0.204,0.686,0.229,0.2,0.276,0.114,0.362,0.457,0.667,0.0,0.558,202,Gary Grant,POR,1610612757,11,0.5
170,29.0,5,"56,1610612760",82,21,38.4,0.288,0.657,0.373,0.689,0.311,0.567,0.082,0.256,0.218,0.178,0.228,0.484,0.712,0.343,0.627,56,Gary Payton,SEA,1610612760,61,0.744
171,23.0,5,"718,1610612761",54,29,25.1,0.553,1.0,0.56,0.976,0.024,0.752,0.162,0.019,0.144,0.229,0.141,0.59,0.447,0.0,0.44,718,Gary Trent,TOR,1610612761,25,0.463
172,27.0,5,"248,1610612763",82,63,18.2,0.657,0.778,0.661,0.942,0.058,0.776,0.292,0.044,0.172,0.18,0.162,0.484,0.343,0.222,0.339,248,George Lynch,VAN,1610612763,19,0.232
173,31.0,5,"45,1610612756",63,24,19.3,0.706,0.944,0.803,0.513,0.487,0.447,0.219,0.467,0.16,0.086,0.2,0.228,0.294,0.056,0.197,45,George McCloud,PHX,1610612756,39,0.619
174,24.0,5,"678,1610612760",12,7,5.3,0.667,1.0,0.714,0.931,0.069,0.414,0.138,0.103,0.0,0.483,0.379,0.276,0.333,0.0,0.286,678,George Zidek,SEA,1610612760,5,0.417
175,29.0,5,"1666,1610612744",19,15,12.7,0.286,0.667,0.462,0.559,0.441,0.378,0.324,0.486,0.108,0.135,0.324,0.054,0.714,0.333,0.538,1666,Gerald Madkins,GSW,1610612744,4,0.211
176,34.0,5,"786,1610612753",72,37,17.4,0.589,0.966,0.667,0.749,0.251,0.589,0.179,0.229,0.142,0.182,0.192,0.411,0.411,0.034,0.333,786,Gerald Wilkins,ORL,1610612753,35,0.486
177,31.0,5,"779,1610612766",82,31,40.2,0.732,0.9,0.767,0.784,0.216,0.552,0.281,0.214,0.133,0.234,0.165,0.271,0.268,0.1,0.233,779,Glen Rice,CHH,1610612766,51,0.622
178,25.0,5,"299,1610612749",56,27,40.9,0.576,0.88,0.59,0.943,0.057,0.778,0.476,0.057,0.133,0.164,0.175,0.303,0.424,0.12,0.41,299,Glenn Robinson,MIL,1610612749,29,0.518
179,22.0,5,"1539,1610612764",20,12,7.3,0.211,0.0,0.211,0.966,0.034,0.623,0.131,0.0,0.23,0.377,0.197,0.492,0.789,0.0,0.789,1539,God Shammgod,WAS,1610612764,8,0.4
180,25.0,5,"255,1610612765",81,45,40.7,0.273,1.0,0.276,0.985,0.015,0.715,0.266,0.005,0.147,0.28,0.169,0.449,0.727,0.0,0.724,255,Grant Hill,DET,1610612765,36,0.444
181,32.0,5,"3,1610612765",40,21,18.6,0.88,0.0,0.88,0.966,0.034,0.709,0.241,0.0,0.177,0.291,0.184,0.468,0.12,0.0,0.12,3,Grant Long,DET,1610612765,19,0.475
182,34.0,5,"246,1610612737",50,19,7.9,0.556,0.0,0.556,0.938,0.062,0.818,0.023,0.0,0.068,0.182,0.114,0.795,0.444,0.0,0.444,246,Greg Anderson,ATL,1610612737,31,0.62
183,30.0,5,"21,1610612760",80,20,12.8,0.274,0.818,0.513,0.544,0.456,0.401,0.15,0.473,0.141,0.126,0.227,0.251,0.726,0.182,0.487,21,Greg Anthony,SEA,1610612760,60,0.75
184,29.0,5,"323,1610612762",78,20,18.5,0.788,1.0,0.79,0.978,0.022,0.834,0.449,0.014,0.122,0.152,0.132,0.385,0.212,0.0,0.21,323,Greg Foster,UTA,1610612762,58,0.744
185,27.0,5,"37,1610612739",6,1,9.4,0.571,0.0,0.571,0.75,0.25,0.875,0.625,0.0,0.125,0.125,0.375,0.25,0.429,0.0,0.429,37,Greg Graham,CLE,1610612739,5,0.833
186,26.0,5,"65,1610612738",69,37,16.3,0.694,0.833,0.7,0.903,0.097,0.777,0.359,0.052,0.243,0.171,0.18,0.417,0.306,0.167,0.3,65,Greg Minor,BOS,1610612738,32,0.464
187,25.0,5,"731,1610612762",63,18,20.4,0.591,0.0,0.591,1.0,0.0,0.774,0.02,0.0,0.051,0.226,0.101,0.754,0.409,0.0,0.409,731,Greg Ostertag,UTA,1610612762,45,0.714
188,35.0,5,"165,1610612745",47,21,34.7,0.699,0.0,0.699,0.995,0.005,0.793,0.311,0.0,0.019,0.207,0.109,0.482,0.301,0.0,0.301,165,Hakeem Olajuwon,HOU,1610612745,26,0.553
189,27.0,5,"1677,1610612743",27,25,12.7,0.516,0.0,0.516,0.964,0.036,0.756,0.024,0.0,0.262,0.244,0.348,0.732,0.484,0.0,0.484,1677,Harold Ellis,DEN,1610612743,2,0.074
190,32.0,5,"265,1610612764",65,34,13.7,0.811,1.0,0.813,0.969,0.031,0.871,0.553,0.018,0.129,0.112,0.082,0.318,0.189,0.0,0.187,265,Harvey Grant,WAS,1610612764,31,0.477
191,32.0,5,"1080,1610612739",28,12,6.0,0.846,0.909,0.875,0.576,0.424,0.325,0.225,0.413,0.038,0.263,0.15,0.1,0.154,0.091,0.125,1080,Henry James,CLE,1610612739,16,0.571
192,40.0,5,"1006,1610612752",27,12,6.5,0.889,0.0,0.889,1.0,0.0,0.973,0.541,0.0,0.054,0.027,0.162,0.432,0.111,0.0,0.111,1006,Herb Williams,NYK,1610612752,15,0.556
193,31.0,5,"765,1610612760",82,21,31.7,0.665,0.976,0.804,0.527,0.473,0.36,0.113,0.435,0.152,0.205,0.186,0.247,0.335,0.024,0.196,765,Hersey Hawkins,SEA,1610612760,61,0.744
194,32.0,5,"270,1610612753",76,38,36.9,0.784,0.0,0.784,0.992,0.008,0.853,0.502,0.0,0.068,0.147,0.138,0.352,0.216,0.0,0.216,270,Horace Grant,ORL,1610612753,38,0.5
195,24.0,5,"1024,1610612756",8,2,5.2,0.571,0.0,0.5,0.857,0.143,0.583,0.167,0.125,0.0,0.292,0.0,0.417,0.429,1.0,0.5,1024,Horacio Llamas,PHX,1610612756,6,0.75
196,35.0,5,"73,1610612756",71,23,18.8,0.789,0.0,0.789,1.0,0.0,0.745,0.259,0.0,0.039,0.255,0.176,0.486,0.211,0.0,0.211,73,Hot Rod Williams,PHX,1610612756,48,0.676
197,25.0,5,"458,1610612762",82,20,21.0,0.32,0.521,0.362,0.773,0.227,0.572,0.227,0.227,0.09,0.201,0.125,0.344,0.68,0.479,0.638,458,Howard Eisley,UTA,1610612762,62,0.756
198,28.0,5,"93,1610612742",81,61,29.4,0.562,0.891,0.657,0.7,0.3,0.555,0.39,0.337,0.189,0.108,0.186,0.165,0.438,0.109,0.343,93,Hubert Davis,DAL,1610612742,20,0.247
199,28.0,5,"1134,1610612746",78,38,29.2,0.667,0.0,0.667,0.991,0.009,0.77,0.209,0.0,0.143,0.23,0.135,0.561,0.333,0.0,0.333,1134,Ike Austin,LAC,1610612746,40,0.513
200,27.0,5,"375,1610612757",74,33,37.7,0.519,0.763,0.579,0.677,0.323,0.571,0.274,0.278,0.169,0.152,0.202,0.296,0.481,0.237,0.421,375,Isaiah Rider,POR,1610612757,41,0.554
201,27.0,5,"1096,1610612763",28,24,8.9,0.632,1.0,0.65,0.982,0.018,0.655,0.034,0.052,0.103,0.293,0.121,0.621,0.368,0.0,0.35,1096,Ivano Newbill,VAN,1610612763,4,0.143
202,30.0,5,"462,1610612766",79,30,14.1,0.706,0.667,0.705,0.975,0.025,0.745,0.417,0.023,0.12,0.232,0.148,0.328,0.294,0.333,0.295,462,J.R. Reid,CHH,1610612766,49,0.62
203,34.0,5,"917,1610612751",16,9,3.2,0.8,0.0,0.8,0.944,0.056,0.455,0.0,0.0,0.0,0.545,0.182,0.455,0.2,0.0,0.2,917,Jack Haley,NJN,1610612751,7,0.438
204,23.0,5,"1521,1610612762",45,10,9.3,0.415,1.0,0.455,0.934,0.066,0.59,0.259,0.065,0.137,0.345,0.144,0.331,0.585,0.0,0.545,1521,Jacque Vaughn,UTA,1610612762,35,0.778
205,25.0,5,"147,1610612754",82,24,20.8,0.513,0.96,0.552,0.88,0.12,0.687,0.309,0.097,0.231,0.215,0.226,0.379,0.487,0.04,0.448,147,Jalen Rose,IND,1610612754,58,0.707
206,25.0,5,"469,1610612748",48,19,36.0,0.523,0.973,0.59,0.789,0.211,0.592,0.196,0.154,0.172,0.254,0.199,0.396,0.477,0.027,0.41,469,Jamal Mashburn,MIA,1610612748,29,0.604
207,24.0,5,"1530,1610612746",23,21,4.4,0.5,0.778,0.619,0.636,0.364,0.407,0.136,0.458,0.102,0.136,0.254,0.271,0.5,0.222,0.381,1530,James Collins,LAC,1610612746,2,0.087
208,22.0,5,"1526,1610612760",9,2,3.8,0.875,0.0,0.875,0.81,0.19,0.667,0.167,0.0,0.292,0.333,0.25,0.5,0.125,0.0,0.125,1526,James Cotton,SEA,1610612760,7,0.778
209,27.0,5,"381,1610612746",70,56,17.6,0.463,0.757,0.574,0.551,0.449,0.447,0.159,0.41,0.231,0.142,0.177,0.288,0.537,0.243,0.426,381,James Robinson,LAC,1610612746,14,0.2
210,23.0,5,"994,1610612749",45,25,10.0,0.657,1.0,0.692,0.856,0.144,0.686,0.176,0.118,0.127,0.196,0.196,0.51,0.343,0.0,0.308,994,Jamie Feick,MIL,1610612749,20,0.444
211,30.0,5,"1114,1610612759",82,26,27.2,0.726,0.938,0.818,0.546,0.454,0.404,0.271,0.465,0.166,0.13,0.157,0.133,0.274,0.063,0.182,1114,Jaren Jackson,SAS,1610612759,56,0.683
212,25.0,5,"679,1610612744",80,36,17.8,0.606,0.0,0.606,0.996,0.004,0.775,0.172,0.0,0.18,0.225,0.172,0.604,0.394,0.0,0.394,679,Jason Caffey,GSW,1610612744,44,0.55
213,25.0,5,"467,1610612756",82,26,38.1,0.394,0.863,0.49,0.729,0.271,0.595,0.254,0.23,0.229,0.175,0.202,0.342,0.606,0.137,0.51,467,Jason Kidd,PHX,1610612756,56,0.683
214,23.0,5,"1535,1610612753",17,11,4.6,0.667,0.0,0.667,1.0,0.0,0.692,0.0,0.0,0.0,0.308,0.269,0.692,0.333,0.0,0.333,1535,Jason Lawson,ORL,1610612753,6,0.353
215,30.0,5,"420,1610612751",65,30,36.1,0.592,0.0,0.592,0.994,0.006,0.767,0.091,0.0,0.145,0.233,0.182,0.676,0.408,0.0,0.408,420,Jayson Williams,NJN,1610612751,35,0.538
216,32.0,5,"81,1610612744",5,2,6.8,0.5,1.0,0.75,0.455,0.545,0.4,0.2,0.6,0.0,0.0,0.0,0.2,0.5,0.0,0.25,81,Jeff Grayer,GSW,1610612744,3,0.6
217,35.0,5,"204,1610612762",80,20,30.8,0.65,0.929,0.689,0.847,0.153,0.602,0.332,0.147,0.126,0.25,0.153,0.27,0.35,0.071,0.311,204,Jeff Hornacek,UTA,1610612762,60,0.75
218,25.0,5,"999,1610612749",13,7,3.7,0.6,0.0,0.6,1.0,0.0,0.556,0.111,0.0,0.444,0.444,0.333,0.444,0.4,0.0,0.4,999,Jeff Nordgaard,MIL,1610612749,6,0.462
219,23.0,5,"1532,1610612749",38,23,13.9,0.492,0.966,0.644,0.652,0.348,0.498,0.139,0.355,0.118,0.147,0.155,0.359,0.508,0.034,0.356,1532,Jerald Honeycutt,MIL,1610612749,15,0.395
220,19.0,5,"979,1610612757",60,25,13.5,0.536,0.0,0.536,0.991,0.009,0.833,0.059,0.0,0.13,0.167,0.093,0.773,0.464,0.0,0.464,979,Jermaine O'Neal,POR,1610612757,35,0.583
221,36.0,5,"760,1610612760",37,10,19.4,0.792,1.0,0.794,0.957,0.043,0.821,0.496,0.013,0.154,0.167,0.226,0.325,0.208,0.0,0.206,760,Jerome Kersey,SEA,1610612760,27,0.73
222,25.0,5,"966,1610612765",77,42,16.9,0.563,0.0,0.563,0.997,0.003,0.737,0.063,0.0,0.241,0.263,0.212,0.673,0.437,0.0,0.437,966,Jerome Williams,DET,1610612765,35,0.455
223,23.0,5,"711,1610612765",79,47,32.2,0.618,0.872,0.646,0.8,0.2,0.604,0.178,0.113,0.195,0.283,0.199,0.426,0.382,0.128,0.354,711,Jerry Stackhouse,DET,1610612765,32,0.405
224,27.0,5,"754,1610612744",79,55,38.6,0.545,0.934,0.595,0.827,0.173,0.668,0.3,0.147,0.149,0.184,0.181,0.369,0.455,0.066,0.405,754,Jim Jackson,GSW,1610612744,24,0.304
225,25.0,5,"29,1610612760",78,21,15.5,0.683,0.0,0.683,0.987,0.013,0.818,0.194,0.0,0.077,0.182,0.097,0.623,0.317,0.0,0.317,29,Jim McIlvaine,SEA,1610612760,57,0.731
226,28.0,5,"1429,1610612764",1,1,10.1,0.0,1.0,0.5,0.5,0.5,0.4,0.4,0.6,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1429,Jimmy Oliver,WAS,1610612764,0,0.0
