,AVG_DRIB_PER_TOUCH,AVG_SEC_PER_TOUCH,ELBOW_TOUCHES,FRONT_CT_TOUCHES,GP,L,MIN,PAINT_TOUCHES,PLAYER_ID,PLAYER_NAME,POINTS,POST_TOUCHES,PTS_PER_ELBOW_TOUCH,PTS_PER_PAINT_TOUCH,PTS_PER_POST_TOUCH,PTS_PER_TOUCH,TEAM_ABBREVIATION,TEAM_ID,TIME_OF_POSS,TOUCHES,W
293,1.51,2.09,53,1288,49,29,1209.0,51,201158,Marco Belinelli,539,57,0.358,0.98,0.965,0.359,CHA,1610612766,52.3,1502,20
294,0.94,1.62,98,1788,55,28,1817.0,30,202694,Marcus Morris,770,46,0.51,0.867,0.609,0.282,DET,1610612765,74.0,2734,27
295,2.78,3.31,44,2553,52,18,1616.0,81,203935,Marcus Smart,541,110,0.205,0.679,0.545,0.179,BOS,1610612738,166.8,3020,34
296,2.17,2.66,27,599,32,17,561.0,10,201977,Marcus Thornton,214,14,0.481,1.2,0.857,0.281,WAS,1610612764,33.8,761,15
297,1.04,1.91,8,500,41,29,467.0,10,1626209,Mario Hezonja,162,14,0.0,0.6,0.571,0.251,ORL,1610612753,20.6,646,12
298,0.53,1.5,191,1475,52,20,1663.0,119,202693,Markieff Morris,782,161,0.304,1.017,1.025,0.328,WAS,1610612764,59.7,2384,32
299,0.42,1.16,74,941,54,38,1021.0,69,1627737,Marquese Chriss,416,83,0.27,1.0,0.976,0.25,PHX,1610612756,32.3,1667,16
300,0.29,1.28,71,994,55,21,912.0,72,201578,Marreese Speights,545,92,0.296,1.069,0.978,0.318,LAC,1610612746,36.5,1714,34
301,0.31,1.11,5,38,8,5,65.0,3,1627850,Marshall Plumlee,9,5,0.2,1.667,1.0,0.111,NYK,1610612752,1.5,81,3
302,0.32,1.02,75,1295,48,30,1374.0,47,101107,Marvin Williams,530,52,0.4,0.894,0.885,0.192,CHA,1610612766,47.0,2765,18
303,0.91,1.97,288,1935,55,32,1550.0,232,203486,Mason Plumlee,608,240,0.229,0.931,0.892,0.21,DEN,1610612743,94.9,2898,23
304,0.64,1.43,109,1661,54,32,1366.0,64,2440,Matt Barnes,413,73,0.128,0.703,0.685,0.151,SAC,1610612758,65.2,2735,22
305,4.08,4.15,19,2192,48,28,1265.0,14,203521,Matthew Dellavedova,359,23,0.0,0.214,0.348,0.134,MIL,1610612749,185.2,2675,20
306,0.74,1.4,35,1192,52,31,1504.0,123,203090,Maurice Harkless,549,157,0.457,1.008,0.796,0.298,POR,1610612757,43.1,1844,21
307,0.35,1.23,8,116,20,14,144.0,15,1626254,Maurice Ndour,46,20,0.0,0.933,0.8,0.253,NYK,1610612752,3.7,182,6
308,0.89,1.94,4,74,18,14,81.0,0,1897,Metta World Peace,18,0,0.0,0.0,0.0,0.173,LAL,1610612747,3.4,104,4
309,0.48,1.3,67,770,48,29,784.0,47,203086,Meyers Leonard,266,58,0.149,0.66,0.655,0.201,POR,1610612757,28.8,1326,19
310,0.88,1.79,47,811,45,27,770.0,62,201563,Michael Beasley,426,78,0.426,1.0,0.91,0.333,MIL,1610612749,38.1,1279,18
311,3.36,3.84,9,1052,25,11,574.0,20,203487,Michael Carter-Williams,216,24,0.222,0.95,0.708,0.168,CHI,1610612741,82.3,1287,14
312,0.92,1.32,0,23,9,2,32.0,1,1627771,Michael Gbinije,4,1,0.0,0.0,0.0,0.103,DET,1610612765,0.9,39,7
313,1.21,1.73,36,1174,53,31,1582.0,84,203077,Michael Kidd-Gilchrist,478,115,0.333,0.821,0.878,0.245,CHA,1610612766,56.5,1955,22
314,5.06,5.13,70,3317,45,19,1465.0,16,201144,Mike Conley,860,16,0.371,0.5,0.375,0.231,MEM,1610612763,318.5,3723,26
315,0.78,1.47,20,582,39,12,633.0,25,2399,Mike Dunleavy,202,31,0.3,1.16,0.903,0.255,ATL,1610612737,19.4,792,27
316,1.17,1.73,2,95,12,9,76.0,0,2034,Mike Miller,20,0,0.0,0.0,0.0,0.119,DEN,1610612743,4.8,168,3
317,0.31,1.0,99,935,49,22,963.0,113,203488,Mike Muscala,353,129,0.283,0.858,0.775,0.223,ATL,1610612737,26.4,1583,27
318,0.57,1.35,20,198,18,11,195.0,14,203118,Mike Scott,45,19,0.0,0.429,0.211,0.152,ATL,1610612737,6.7,297,7
319,0.1,0.7,0,6,1,1,11.0,1,1627861,Mike Tobey,2,2,0.0,0.0,0.0,0.25,CHA,1610612766,0.1,8,0
