,AST,AST_ADJ,AST_PTS_CREATED,AST_TO_PASS_PCT,AST_TO_PASS_PCT_ADJ,FT_AST,GP,L,MIN,PASSES_MADE,PASSES_RECEIVED,PLAYER_ID,PLAYER_NAME,POTENTIAL_AST,SECONDARY_AST,TEAM_ABBREVIATION,TEAM_ID,W
340,372,485,878,0.127,0.165,43,63,35,2191.0,2934,2948,201587,Nicolas Batum,700,70,CHA,1610612766,28
341,28,35,65,0.083,0.104,4,41,27,276.0,336,287,1627852,Nicolas Brussino,53,3,DAL,1610612742,14
342,28,32,65,0.09,0.103,2,18,3,174.0,311,348,1627879,Nicolas Laprovittola,50,2,SAS,1610612759,15
343,137,175,333,0.074,0.095,15,64,41,1726.0,1846,1817,203917,Nik Stauskas,285,23,PHI,1610612755,23
344,253,318,586,0.094,0.119,23,56,29,1515.0,2683,2069,203999,Nikola Jokic,431,42,DEN,1610612743,27
345,51,79,124,0.027,0.041,6,54,27,1225.0,1921,1467,202703,Nikola Mirotic,98,21,CHI,1610612741,27
346,159,201,396,0.055,0.07,12,60,38,1732.0,2884,2315,202696,Nikola Vucevic,353,29,ORL,1610612753,22
347,16,27,40,0.018,0.031,3,57,31,796.0,882,480,203943,Noah Vonleh,39,8,POR,1610612757,26
348,66,79,162,0.076,0.092,3,61,26,1080.0,863,1033,1626181,Norman Powell,152,10,TOR,1610612761,35
349,5,8,10,0.068,0.11,1,4,4,52.0,73,88,202708,Norris Cole,10,2,OKC,1610612760,0
350,15,21,39,0.037,0.051,1,22,5,342.0,408,289,1627855,Okaro White,34,5,MIA,1610612748,17
351,15,20,38,0.025,0.034,1,31,19,482.0,591,287,201600,Omer Asik,31,4,NOP,1610612740,12
352,26,38,63,0.045,0.066,2,23,14,420.0,575,431,201956,Omri Casspi,45,10,NOP,1610612740,9
353,100,133,238,0.049,0.065,11,65,24,2199.0,2061,1561,203490,Otto Porter Jr.,191,21,WAS,1610612764,41
354,77,112,189,0.039,0.057,11,64,42,1798.0,1963,1385,200782,PJ Tucker,163,25,TOR,1610612761,22
355,15,29,33,0.019,0.036,1,49,19,789.0,809,558,1627783,Pascal Siakam,35,13,TOR,1610612761,30
356,16,22,40,0.074,0.102,1,29,18,209.0,216,190,1626192,Pat Connaughton,33,5,POR,1610612757,11
357,231,290,570,0.115,0.145,18,53,16,1624.0,2002,1936,201976,Patrick Beverley,460,40,HOU,1610612745,37
358,54,85,131,0.073,0.115,4,56,13,810.0,739,794,1627775,Patrick McCaw,120,26,GSW,1610612744,43
359,61,91,160,0.04,0.059,6,49,20,1272.0,1541,1101,202335,Patrick Patterson,108,23,TOR,1610612761,29
360,213,287,481,0.083,0.112,8,64,13,1385.0,2569,2866,201988,Patty Mills,398,66,SAS,1610612759,51
361,120,150,281,0.06,0.075,12,47,9,1212.0,1994,1574,2200,Pau Gasol,200,17,SAS,1610612759,38
362,192,264,463,0.091,0.125,26,58,27,2054.0,2114,2478,202331,Paul George,383,46,IND,1610612754,31
363,236,286,569,0.084,0.102,20,63,26,2159.0,2801,2864,200794,Paul Millsap,464,31,ATL,1610612737,37
364,2,3,5,0.011,0.017,0,13,6,153.0,176,154,1718,Paul Pierce,7,1,LAC,1610612746,7
365,13,20,31,0.032,0.05,4,29,17,470.0,403,374,1627835,Paul Zipser,25,3,CHI,1610612741,12
366,19,23,46,0.123,0.148,1,9,5,84.0,155,182,203510,Pierre Jackson,36,3,DAL,1610612742,4
367,5,6,12,0.014,0.017,0,25,21,307.0,361,288,203112,Quincy Acy,14,1,BKN,1610612751,4
368,12,16,30,0.078,0.104,1,5,1,77.0,154,168,1626188,Quinn Cook,23,3,DAL,1610612742,4
369,0,0,0,0.0,0.0,0,3,1,9.0,8,7,1626154,RJ Hunter,1,0,CHI,1610612741,2
370,357,445,813,0.111,0.138,36,56,30,1444.0,3229,3173,200765,Rajon Rondo,686,52,CHI,1610612741,26
371,2,4,4,0.027,0.053,0,16,9,126.0,75,57,1626176,Rakeem Christmas,4,2,IND,1610612754,7
372,129,182,294,0.1,0.141,11,50,27,811.0,1289,1518,201196,Ramon Sessions,266,42,CHA,1610612766,23
373,102,137,263,0.081,0.109,11,51,42,952.0,1261,1298,200751,Randy Foye,239,24,BKN,1610612751,9
374,14,19,32,0.065,0.088,1,31,16,353.0,216,258,1626173,Rashad Vaughn,19,4,MIL,1610612749,15
375,25,38,65,0.065,0.098,6,34,13,273.0,386,414,203526,Raul Neto,46,7,UTA,1610612762,21
376,162,225,395,0.074,0.102,14,64,25,1415.0,2203,2224,101109,Raymond Felton,333,48,LAC,1610612746,39
377,17,23,40,0.081,0.11,2,20,10,265.0,210,220,203493,Reggie Bullock,29,4,DET,1610612765,10
378,244,320,582,0.111,0.145,19,45,23,1296.0,2208,2748,202704,Reggie Jackson,513,57,DET,1610612765,22
379,4,4,9,0.062,0.062,0,6,5,79.0,65,77,202130,Reggie Williams,9,0,NOP,1610612740,1
380,62,91,151,0.052,0.076,4,64,21,1315.0,1200,905,2210,Richard Jefferson,109,25,CLE,1610612739,43
381,30,45,75,0.033,0.05,3,41,29,731.0,905,796,1626158,Richaun Holmes,59,12,PHI,1610612755,12
382,517,643,1179,0.133,0.165,43,59,35,1904.0,3892,4030,201937,Ricky Rubio,890,84,MIN,1610612750,24
383,93,129,239,0.047,0.065,12,59,36,1857.0,1995,1782,203496,Robert Covington,172,23,PHI,1610612755,23
384,66,99,153,0.046,0.069,3,66,35,1841.0,1433,1335,201577,Robin Lopez,136,30,CHI,1610612741,31
385,81,112,194,0.068,0.093,8,47,15,1334.0,1200,1558,203918,Rodney Hood,183,23,UTA,1610612762,32
386,91,110,223,0.078,0.095,6,63,32,1599.0,1161,1094,203585,Rodney McGruder,187,13,MIA,1610612748,31
387,72,94,171,0.078,0.102,2,34,19,620.0,921,1036,201155,Rodney Stuckey,135,20,IND,1610612754,15
388,50,63,121,0.079,0.099,4,37,28,447.0,636,666,1627758,Ron Baker,97,9,NYK,1610612752,9
389,121,158,297,0.058,0.076,7,60,49,1307.0,2077,1631,1626178,Rondae Hollis-Jefferson,249,30,BKN,1610612751,11
390,0,0,0,0.0,0.0,0,4,2,10.0,9,8,101179,Ronnie Price,1,0,PHX,1610612756,2
391,20,29,52,0.048,0.07,3,45,23,676.0,415,356,201579,Roy Hibbert,43,5,DEN,1610612743,22
392,83,109,193,0.079,0.104,5,30,19,1013.0,1047,1107,200752,Rudy Gay,157,22,SAC,1610612758,11
393,70,103,174,0.023,0.034,8,65,24,2179.0,3069,1957,203497,Rudy Gobert,182,25,UTA,1610612762,41
394,669,816,1534,0.168,0.205,70,66,29,2302.0,3984,4967,201566,Russell Westbrook,1270,76,OKC,1610612760,37
395,60,97,160,0.033,0.053,2,63,19,1903.0,1820,1720,201583,Ryan Anderson,136,34,HOU,1610612745,44
396,5,7,12,0.074,0.103,0,11,6,53.0,68,49,203527,Ryan Kelly,10,2,ATL,1610612737,5
397,12,27,30,0.015,0.034,2,58,34,745.0,799,376,1626257,Salah Mejri,40,14,DAL,1610612742,24
398,72,91,176,0.057,0.072,3,67,21,1279.0,1263,947,1626155,Sam Dekker,122,17,HOU,1610612745,46
399,24,32,56,0.078,0.104,1,31,21,239.0,307,308,2756,Sasha Vujacic,48,7,NYK,1610612752,10
400,147,208,371,0.076,0.108,19,63,52,1629.0,1931,2274,203930,Sean Kilpatrick,308,42,BKN,1610612751,11
401,101,138,243,0.084,0.114,13,48,22,674.0,1206,1271,203902,Semaj Christon,207,24,OKC,1610612760,26
402,66,98,158,0.029,0.044,5,65,39,2010.0,2246,1950,201586,Serge Ibaka,151,28,TOR,1610612761,26
403,311,415,741,0.096,0.128,35,61,40,1363.0,3232,3575,200771,Sergio Rodriguez,621,68,PHI,1610612755,21
404,171,214,409,0.073,0.092,12,60,34,1776.0,2332,2643,203552,Seth Curry,366,31,DAL,1610612742,26
405,28,40,64,0.054,0.077,0,61,36,1194.0,519,783,203498,Shabazz Muhammad,56,12,MIN,1610612750,25
406,52,66,127,0.089,0.112,5,41,23,370.0,587,651,203894,Shabazz Napier,98,9,POR,1610612757,18
407,101,180,229,0.059,0.104,6,60,12,1049.0,1723,1727,2733,Shaun Livingston,217,75,GSW,1610612744,48
408,1,2,2,0.025,0.05,0,3,2,27.0,40,35,1627848,Shawn Long,5,1,PHI,1610612755,1
409,15,19,34,0.066,0.084,1,27,11,250.0,227,235,1627815,Sheldon McClellan,28,3,WAS,1610612764,16
410,131,167,325,0.073,0.093,13,46,19,983.0,1798,1969,202714,Shelvin Mack,270,23,UTA,1610612762,27
411,6,11,15,0.028,0.05,2,17,15,188.0,218,165,1627746,Skal Labissiere,8,3,SAC,1610612758,2
412,109,160,255,0.067,0.099,13,64,38,1849.0,1617,1462,203524,Solomon Hill,217,38,NOP,1610612740,26
413,129,157,318,0.084,0.102,4,41,36,907.0,1535,1555,203915,Spencer Dinwiddie,276,24,BKN,1610612751,5
414,67,95,157,0.08,0.114,13,41,20,667.0,834,796,201150,Spencer Hawes,120,15,MIL,1610612749,21
415,84,120,198,0.077,0.11,14,62,31,1063.0,1093,927,1626169,Stanley Johnson,158,22,DET,1610612765,31
416,405,584,952,0.12,0.174,40,64,13,2151.0,3363,4035,201939,Stephen Curry,703,140,GSW,1610612744,51
417,2,2,4,0.019,0.019,0,14,9,75.0,105,68,1627757,Stephen Zimmerman,4,0,ORL,1610612753,5
418,0,0,0,0.0,0.0,0,8,2,22.0,12,14,200779,Steve Novak,0,0,MIL,1610612749,6
419,69,100,176,0.044,0.064,7,64,27,1951.0,1565,1301,203500,Steven Adams,173,24,OKC,1610612760,37
420,405,530,985,0.094,0.122,39,65,42,1654.0,4329,4383,204456,T.J. McConnell,841,86,PHI,1610612755,23
421,56,84,129,0.046,0.069,2,52,35,1558.0,1218,1378,203933,TJ Warren,116,26,PHX,1610612756,17
422,67,105,155,0.025,0.039,7,64,32,1709.0,2694,2117,201959,Taj Gibson,136,31,OKC,1610612760,32
423,36,55,89,0.034,0.053,6,54,35,873.0,1044,717,204028,Tarik Black,82,14,LAL,1610612747,19
424,31,44,77,0.065,0.092,4,43,21,524.0,477,467,1627752,Taurean Prince,61,9,ATL,1610612737,22
425,59,80,141,0.042,0.056,5,51,32,1264.0,1416,1241,203093,Terrence Jones,118,17,MIL,1610612749,19
426,58,82,142,0.061,0.086,13,62,29,1483.0,952,1120,203082,Terrence Ross,114,11,ORL,1610612753,33
427,109,157,257,0.058,0.084,5,62,24,1095.0,1879,1938,1626179,Terry Rozier,233,45,BOS,1610612738,38
428,94,143,230,0.06,0.092,12,54,23,1407.0,1560,1350,200757,Thabo Sefolosha,177,37,ATL,1610612737,31
429,91,137,221,0.041,0.062,13,57,25,1718.0,2203,1678,201152,Thaddeus Young,178,33,IND,1610612754,32
430,23,27,58,0.037,0.044,2,37,27,401.0,619,375,203080,Thomas Robinson,50,2,LAL,1610612747,10
