,AST,AST_ADJ,AST_PTS_CREATED,AST_TO_PASS_PCT,AST_TO_PASS_PCT_ADJ,FT_AST,GP,L,MIN,PASSES_MADE,PASSES_RECEIVED,PLAYER_ID,PLAYER_NAME,POTENTIAL_AST,SECONDARY_AST,TEAM_ABBREVIATION,TEAM_ID,W
345,0,0,0,0.0,0.0,0,9,9,75.0,81,57,203112,Quincy Acy,2,0,BKN,1610612751,0
346,0,0,0,0.0,0.0,0,3,1,9.0,8,7,1626154,RJ Hunter,1,0,CHI,1610612741,2
347,226,280,507,0.105,0.13,23,32,17,941.0,2147,2081,200765,Rajon Rondo,427,31,CHI,1610612741,15
348,1,1,2,0.125,0.125,0,3,3,14.0,8,6,1626176,Rakeem Christmas,1,0,IND,1610612754,0
349,113,160,256,0.105,0.148,10,41,21,673.0,1079,1270,201196,Ramon Sessions,232,37,CHA,1610612766,20
350,54,71,139,0.083,0.11,5,26,21,447.0,648,684,200751,Randy Foye,123,12,BKN,1610612751,5
351,5,8,11,0.058,0.093,0,15,9,149.0,86,115,1626173,Rashad Vaughn,5,3,MIL,1610612749,6
352,17,26,46,0.074,0.113,4,22,9,171.0,230,254,203526,Raul Neto,30,5,UTA,1610612762,13
353,94,134,234,0.073,0.105,6,41,13,874.0,1280,1309,101109,Raymond Felton,190,33,LAC,1610612746,28
354,5,6,12,0.083,0.1,0,6,4,97.0,60,73,203493,Reggie Bullock,8,1,DET,1610612765,2
355,117,152,289,0.111,0.144,12,22,14,634.0,1058,1374,202704,Reggie Jackson,237,23,DET,1610612765,8
356,4,4,9,0.075,0.075,0,5,4,63.0,53,64,202130,Reggie Williams,8,0,NOP,1610612740,1
357,36,55,88,0.048,0.073,4,40,11,768.0,752,565,2210,Richard Jefferson,65,15,CLE,1610612739,29
358,18,28,48,0.042,0.065,2,21,16,337.0,432,395,1626158,Richaun Holmes,30,8,PHI,1610612755,5
359,284,358,649,0.122,0.154,21,36,24,1145.0,2329,2365,201937,Ricky Rubio,507,53,MIN,1610612750,12
360,56,75,146,0.052,0.07,6,36,23,1077.0,1072,952,203496,Robert Covington,102,13,PHI,1610612755,13
361,32,54,73,0.035,0.059,1,41,21,1163.0,916,782,201577,Robin Lopez,75,21,CHI,1610612741,20
362,73,102,173,0.073,0.102,6,37,12,1084.0,1004,1301,203918,Rodney Hood,160,23,UTA,1610612762,25
363,54,65,133,0.08,0.096,3,37,27,965.0,674,638,203585,Rodney McGruder,112,8,MIA,1610612748,10
364,35,48,87,0.078,0.107,2,17,9,345.0,448,483,201155,Rodney Stuckey,75,11,IND,1610612754,8
365,22,33,55,0.077,0.116,3,17,12,183.0,284,293,1627758,Ron Baker,41,8,NYK,1610612752,5
366,59,80,150,0.057,0.078,5,32,26,685.0,1028,872,1626178,Rondae Hollis-Jefferson,136,16,BKN,1610612751,6
367,18,22,45,0.056,0.069,2,34,18,543.0,321,278,201579,Roy Hibbert,34,1,CHA,1610612766,16
368,83,108,193,0.081,0.105,5,29,18,985.0,1024,1081,200752,Rudy Gay,157,21,SAC,1610612758,11
369,40,61,98,0.02,0.031,4,43,16,1436.0,1991,1235,203497,Rudy Gobert,108,17,UTA,1610612762,27
370,445,542,1015,0.172,0.21,45,43,18,1488.0,2581,3200,201566,Russell Westbrook,825,51,OKC,1610612760,25
371,41,68,110,0.031,0.052,1,43,11,1323.0,1312,1216,201583,Ryan Anderson,91,25,HOU,1610612745,32
372,5,7,12,0.079,0.111,0,9,6,47.0,63,46,203527,Ryan Kelly,10,2,ATL,1610612737,3
373,9,19,23,0.018,0.039,0,34,24,447.0,491,239,1626257,Salah Mejri,29,10,DAL,1610612742,10
374,49,61,118,0.057,0.071,1,43,11,800.0,862,622,1626155,Sam Dekker,82,12,HOU,1610612745,32
375,20,26,47,0.08,0.104,1,23,14,196.0,249,247,2756,Sasha Vujacic,38,5,NYK,1610612752,9
376,95,140,246,0.076,0.113,15,36,29,980.0,1244,1453,203930,Sean Kilpatrick,197,30,BKN,1610612751,7
377,90,123,219,0.088,0.121,13,36,15,556.0,1018,1066,203902,Semaj Christon,177,20,OKC,1610612760,21
378,44,65,108,0.029,0.043,2,42,25,1291.0,1502,1266,201586,Serge Ibaka,100,19,ORL,1610612753,17
379,204,274,486,0.094,0.126,25,35,25,897.0,2179,2379,200771,Sergio Rodriguez,425,45,PHI,1610612755,10
380,95,117,228,0.07,0.087,5,35,24,924.0,1350,1482,203552,Seth Curry,204,17,DAL,1610612742,11
381,13,21,28,0.05,0.08,0,37,25,670.0,262,416,203498,Shabazz Muhammad,29,8,MIN,1610612750,12
382,27,33,62,0.077,0.095,2,27,17,219.0,349,404,203894,Shabazz Napier,58,4,POR,1610612757,10
383,68,123,153,0.061,0.111,5,40,6,692.0,1106,1110,2733,Shaun Livingston,144,52,GSW,1610612744,34
